N	2gram	Vygotskiy__2	NovoeSre
1	а не	3	17
2	не может	9	16
3	и в	15	16
4	и не	7	11
5	и есть	2	10
6	что в	14	9
7	он не	7	8
8	в том	33	8
9	как и	6	7
10	это есть	2	7
11	в этом	19	7
12	может быть	9	7
13	с его	4	6
14	никогда не	8	6
15	в высшей	7	6
16	общественной жизни	2	6
17	не в	8	6
18	высшей степени	7	6
19	лишь в	3	6
20	ни в	2	6
21	должен быть	2	5
22	все это	4	5
23	с ее	2	5
24	и к	6	5
25	не только	15	5
26	то что	20	4
27	в них	4	4
28	это не	5	4
29	и все	3	4
30	быть может	2	4
31	не имеет	4	4
32	и для	2	4
33	должно быть	2	4
34	потому что	7	4
35	прежде всего	4	4
36	и мы	2	4
37	о том	9	4
38	но и	10	3
39	не существует	3	3
40	в своей	4	3
41	в истории	6	3
42	с другой	6	3
43	вопрос о	5	3
44	человека и	3	3
45	во всех	2	3
46	к тому	7	3
47	в основе	3	3
48	подобно тому	2	3
49	смысле слова	5	3
50	как в	4	3
51	тому как	2	3
52	наряду с	2	3
53	за пределы	2	3
54	сказать что	6	3
55	что все	4	2
56	на протяжении	2	2
57	все время	3	2
58	вернуться к	3	2
59	самый процесс	2	2
60	у него	2	2
61	вместе с	6	2
62	так и	8	2
63	что она	3	2
64	для этого	3	2
65	в категориях	2	2
66	и т.п	7	2
67	который в	4	2
68	а в	4	2
69	с одной	7	2
70	этом смысле	2	2
71	все эти	3	2
72	нет и	2	2
73	того чтобы	12	2
74	одной стороны	7	2
75	и даже	5	2
76	хотя бы	4	2
77	но не	3	2
78	вот почему	3	2
79	так же	4	2
80	по существу	5	2
81	мы не	10	2
82	том что	27	2
83	можно было	5	2
84	связана с	4	2
85	же как	2	2
86	и с	4	2
87	и что	8	2
88	могут быть	2	2
89	с этим	3	2
90	в себе	2	2
91	с их	2	2
92	не хотим	2	2
93	и это	3	2
94	том чтобы	4	2
95	мира и	2	2
96	как это	6	2
97	но для	2	2
98	но в	6	2
