N	3gram	Bakhtin_sl_2	Problemy
1	в пределах одного	7	9
2	и т п	33	9
3	с точки зрения	3	8
4	в большинстве случаев	5	8
5	до сих пор	2	7
6	к чужому слову	2	6
7	то же время	4	5
8	по отношению к	4	5
9	в то же	4	5
10	и т д	2	4
11	в отличие от	12	4
12	сама по себе	3	4
13	с чужим словом	10	4
14	не может быть	15	4
15	чужого слова и	3	3
16	той или иной	5	3
17	в той или	3	3
18	более или менее	2	3
19	но в то	3	3
20	чужого слова в	5	3
21	в узком смысле	4	2
22	никогда не может	2	2
23	как мы сказали	2	2
24	человека и его	2	2
25	может быть и	2	2
26	в отношении к	4	2
27	но все же	4	2
