N	2gram	Berdyaev_O_1	Myslijsy
1	потому что	9	52
2	и в	19	39
3	может быть	11	27
4	в том	5	26
5	что в	4	22
6	не может	4	22
7	а не	11	21
8	так как	2	21
9	не только	11	21
10	в нем	10	20
11	но и	13	20
12	и не	13	18
13	том что	2	16
14	так что	2	16
15	не в	11	15
16	в этом	12	15
17	так и	2	13
18	в себе	3	13
19	было бы	3	12
20	в душе	2	11
21	в человеке	9	10
22	по себе	2	10
23	что не	4	10
24	не есть	2	10
25	то что	5	10
26	могут быть	3	9
27	как и	6	9
28	мысли и	3	9
29	тем что	2	9
30	но в	2	9
31	того что	3	8
32	должно быть	2	7
33	в истории	2	7
34	это не	3	7
35	в этих	3	7
36	человеческого духа	3	6
37	еще не	3	6
38	как бы	3	6
39	что и	2	6
40	все же	2	6
41	с тем	2	5
42	что человек	3	5
43	и потому	2	5
44	в его	7	5
45	а в	5	5
46	и для	2	5
47	не имеет	2	5
48	и его	4	5
49	не могут	3	4
50	никогда не	9	4
51	вопрос о	10	4
52	прежде всего	9	4
53	от него	7	4
54	для него	5	4
55	в своих	3	4
56	души но	3	4
57	не было	9	4
58	в самой	9	3
59	и от	3	3
60	что все	2	3
61	в этой	5	3
62	в своем	2	3
63	в своей	2	3
64	для того	3	3
65	никто не	3	3
66	в самом	5	3
67	свободы и	2	3
68	к этой	2	3
69	что для	2	3
70	с ним	3	3
71	и то	2	3
72	сказать что	2	3
73	хотя и	2	3
74	одно из	2	3
75	он не	7	3
76	человеческой природы	20	3
77	и все	10	3
78	и с	2	3
79	и есть	3	2
80	в единстве	2	2
81	но он	7	2
82	о его	5	2
83	вопросом о	2	2
84	в человеческом	2	2
85	чем в	2	2
86	все что	3	2
87	того чтобы	4	2
88	мысль о	2	2
89	и о	2	2
90	к ней	2	2
91	не все	2	2
92	что же	2	2
93	для всякого	2	2
94	для человека	2	2
95	ко всем	2	2
96	хотя бы	3	2
97	природы но	3	2
98	никакого другого	2	2
99	даже и	2	2
100	все в	4	2
101	о том	3	2
102	нет ничего	7	2
103	в которой	2	2
104	не могли	2	2
105	в других	2	2
106	природы в	2	2
