N	2gram	Tiupa_Anal_1	Problemy
1	и не	21	31
2	и в	18	29
3	в его	13	24
4	может быть	29	24
5	а не	17	22
6	в этом	13	22
7	как бы	5	19
8	в нем	3	19
9	точки зрения	6	19
10	для него	2	18
11	не только	15	15
12	то что	6	15
13	но и	17	14
14	и его	5	14
15	то же	9	14
16	в пределах	2	13
17	уже не	4	13
18	с точки	4	13
19	как и	13	12
20	не может	22	12
21	таким образом	3	12
22	в самом	6	10
23	в то	9	10
24	только в	6	10
25	с его	3	9
26	это не	6	9
27	все же	4	9
28	но не	10	9
29	же время	6	9
30	о нем	3	9
31	все эти	2	9
32	если бы	3	9
33	по себе	4	8
34	что он	3	8
35	что в	5	8
36	отношению к	5	8
37	в своей	6	8
38	по отношению	6	8
39	потому что	2	8
40	в том	27	8
41	прежде всего	6	7
42	вовсе не	2	7
43	а как	2	7
44	том что	12	7
45	не в	14	7
46	за пределы	2	7
47	так и	4	7
48	художественного видения	3	7
49	и как	5	7
50	а в	9	7
51	с другими	4	7
52	и на	5	7
53	в себе	11	7
54	но в	8	7
55	не могут	3	6
56	в целом	5	6
57	несмотря на	2	6
58	к нему	3	6
59	одним из	3	6
60	самом деле	2	6
61	в мире	8	6
62	могут быть	4	6
63	и потому	2	6
64	так как	2	6
65	именно в	4	5
66	было бы	2	5
67	более того	3	5
68	еще не	3	5
69	в сущности	6	5
70	и о	2	5
71	он не	3	5
72	не становится	2	5
73	той же	2	5
74	на самом	2	5
75	художественного мира	2	5
76	между тем	5	5
77	автора и	3	5
78	с ним	4	5
79	мира в	2	5
80	личности в	3	4
81	в литературе	4	4
82	что и	3	4
83	как предмет	4	4
84	и с	2	4
85	и самого	2	4
86	даже в	3	4
87	в процессе	2	4
88	и т	3	4
89	как мы	2	4
90	героя в	2	4
91	должно быть	2	4
92	в основе	6	4
93	в этой	5	4
94	в произведении	5	4
95	что же	2	4
96	была бы	2	3
97	никогда не	2	3
98	и одновременно	3	3
99	сами по	2	3
100	с другой	4	3
101	романа в	2	3
102	ни в	4	3
103	художественного творчества	2	3
104	внешнего мира	2	3
105	ним и	2	3
106	он может	2	3
107	и до	2	3
108	в их	5	3
109	во времени	4	3
110	другой стороны	2	3
111	т п	3	3
112	этом отношении	2	3
113	в себя	6	3
114	отличается от	2	3
115	тому как	3	3
116	подобно тому	3	3
117	как к	2	3
118	как будто	3	3
119	далеко не	6	3
120	в художественном	3	3
121	отношения к	2	3
122	произведения в	11	2
123	на вопрос	4	2
124	в противоположность	2	2
125	себя и	4	2
126	однако в	3	2
127	его и	2	2
128	то ни	3	2
129	хотя бы	3	2
130	вследствие этого	3	2
131	вопрос о	2	2
132	его к	2	2
133	и к	3	2
134	не есть	8	2
135	бы то	3	2
136	при этом	12	2
137	на себя	2	2
138	и сам	2	2
139	не о	2	2
140	что из	2	2
141	в котором	3	2
142	однако не	3	2
143	один из	2	2
144	какой бы	2	2
145	на его	2	2
146	отношение к	2	2
147	из возможных	2	2
148	данном случае	2	2
149	ни было	4	2
150	в той	8	2
151	из которых	4	2
152	в данном	2	2
153	то он	2	2
154	данного произведения	3	2
155	для себя	2	2
156	и есть	3	2
157	могли бы	2	2
158	в которой	2	2
159	оно может	3	2
160	совпадает с	2	2
161	в сознании	2	2
