N	2gram	Propp_Isto_7	Analitik
1	тогда как	3	19
2	в этом	12	18
3	и в	24	16
4	не только	21	16
5	так и	5	15
6	как и	6	14
7	в том	7	12
8	своего рода	4	12
9	но и	11	12
10	и не	4	12
11	том что	10	12
12	в качестве	3	11
13	как бы	4	10
14	при этом	4	10
15	а не	8	10
16	и даже	3	9
17	ничего не	5	9
18	в данном	4	8
19	не случайно	3	8
20	представляет собой	4	8
21	то что	7	7
22	о том	9	7
23	с другой	9	6
24	в самом	2	6
25	и на	2	6
26	может быть	14	6
27	как это	2	6
28	но в	5	6
29	говорит о	2	5
30	данном случае	3	5
31	с одной	5	5
32	на себя	2	5
33	не менее	5	4
34	в конце	3	4
35	у него	10	4
36	уже не	2	4
37	не в	9	4
38	но не	6	4
39	того же	2	4
40	одной стороны	5	4
41	в один	2	4
42	и тем	2	4
43	во всех	7	4
44	как в	12	4
45	все это	8	4
46	не может	14	4
47	и его	3	4
48	то же	8	4
49	не так	2	4
50	хотя и	3	4
51	он в	2	4
52	точки зрения	4	4
53	только в	6	4
54	никогда не	4	3
55	не столько	3	3
56	прежде всего	2	3
57	одной из	4	3
58	тем не	4	3
59	так что	3	3
60	было бы	2	3
61	в действительности	2	3
62	и если	3	3
63	со своим	4	3
64	мы имеем	12	3
65	на его	2	3
66	или в	8	3
67	что и	8	3
68	из них	2	3
69	со стороны	2	3
70	в их	4	3
71	только на	2	3
72	ответ на	6	3
73	на небесах	2	3
74	а в	10	3
75	как мы	3	3
76	тем что	6	3
77	попадает в	2	3
78	и все	6	3
79	в ответ	3	2
80	вступает в	3	2
81	того что	6	2
82	тот кто	5	2
83	в состоянии	4	2
84	еще одна	3	2
85	вообще не	2	2
86	или даже	2	2
87	к этому	2	2
88	вовсе не	4	2
89	не знаю	3	2
90	в одну	2	2
91	на то	3	2
92	знаю что	2	2
93	по существу	4	2
94	превращается в	3	2
95	что в	13	2
96	так например	2	2
97	она не	2	2
98	еще не	8	2
99	нас к	2	2
100	ни с	2	2
101	в таких	2	2
102	в котором	2	2
103	для нее	2	2
104	один из	7	2
105	вместе с	7	2
106	дело не	5	2
107	на него	2	2
108	что она	5	2
109	другой стороны	8	2
110	и стал	3	2
111	таким образом	7	2
112	т е	16	2
113	но эта	2	2
114	при переходе	2	2
115	этих случаях	16	2
116	на этот	2	2
117	и он	3	2
118	не имеет	4	2
119	так же	6	2
120	он не	6	2
121	в то	2	2
122	его в	3	2
123	представляют собой	5	2
124	в этих	13	2
125	сказать что	2	2
126	с ним	5	2
