N	2gram	Vygotskiy__7	NovoeSre
1	а не	6	17
2	не может	11	16
3	и в	26	16
4	и не	18	11
5	и есть	2	10
6	что в	12	9
7	он не	3	8
8	в том	18	8
9	в новой	3	7
10	как и	15	7
11	это есть	4	7
12	в этом	29	7
13	может быть	7	7
14	никогда не	4	6
15	не в	4	6
16	лишь в	2	6
17	но это	3	6
18	ни в	2	6
19	в нем	2	5
20	все это	3	5
21	с ее	2	5
22	и к	7	5
23	в ней	3	5
24	не только	24	5
25	не менее	4	4
26	то что	24	4
27	это не	3	4
28	не имеет	2	4
29	и для	5	4
30	должно быть	2	4
31	потому что	16	4
32	по своему	9	4
33	прежде всего	7	4
34	о том	4	4
35	и потому	3	4
36	но и	11	3
37	не есть	4	3
38	в своей	3	3
39	с другой	4	3
40	вопрос о	6	3
41	во всех	6	3
42	не означает	3	3
43	перейти к	4	3
44	к тому	7	3
45	в ее	6	3
46	в основе	3	3
47	с тем	5	3
48	как в	4	3
49	она не	5	3
50	еще не	4	3
51	наряду с	2	3
52	сказать что	8	3
53	что все	2	2
54	я не	3	2
55	том и	3	2
56	и весь	2	2
57	из ее	3	2
58	вместе с	12	2
59	природе и	2	2
60	так и	3	2
61	что она	8	2
62	для этого	3	2
63	мысли и	11	2
64	и от	4	2
65	мы говорим	2	2
66	а в	2	2
67	с одной	5	2
68	все эти	6	2
69	в одну	2	2
70	нет и	3	2
71	такой же	3	2
72	того чтобы	19	2
73	одной стороны	5	2
74	но не	3	2
75	так же	14	2
76	это и	4	2
77	время как	2	2
78	мы не	7	2
79	том что	17	2
80	в смысле	6	2
81	можно было	2	2
82	связана с	3	2
83	есть в	3	2
84	же как	8	2
85	и с	5	2
86	и что	6	2
87	переходе от	3	2
88	и заключается	3	2
89	могут быть	2	2
90	с этим	2	2
91	движение от	6	2
92	в себе	9	2
93	в то	3	2
94	не могла	2	2
95	как это	5	2
96	мысли в	9	2
97	но для	2	2
98	должно было	2	2
99	но в	4	2
