N	3gram	Vinokur_St_3	Vladivir
1	в том что	11	10
2	тем не менее	2	9
3	о том что	4	8
4	с точки зрения	4	6
5	не может быть	5	6
6	в конце концов	3	5
7	и в этом	2	5
8	в то время	4	4
9	в этом смысле	4	3
10	с одной стороны	2	3
11	в то же	3	3
12	во всяком случае	4	3
13	то же время	3	2
14	что это есть	2	2
15	независимо от того	2	2
16	к тому что	2	2
17	нельзя сказать что	2	2
18	в связи с	3	2
19	только в виде	2	2
20	себе отчет в	2	2
21	а с другой	2	2
22	то время как	4	2
23	на то что	3	2
24	с другой стороны	4	2
25	в этом отношении	4	2
