N	2gram	Voloshinov_1	FransuaR
1	и в	16	40
2	и его	8	17
3	прежде всего	9	16
4	в этом	9	15
5	мы уже	2	13
6	не только	7	13
7	и не	4	13
8	в его	4	13
9	что в	3	12
10	как и	2	11
11	но и	4	11
12	и т.п	2	10
13	таким образом	9	10
14	как мы	4	10
15	в них	2	9
16	и все	4	9
17	может быть	17	9
18	он не	2	9
19	во время	3	8
20	отношение к	5	8
21	в том	3	8
22	у него	2	8
23	все эти	5	8
24	и с	8	8
25	и на	4	8
26	но в	4	8
27	в одном	3	7
28	и др	3	7
29	то же	2	7
30	в этих	3	6
31	к этому	2	6
32	в самом	2	6
33	во всех	3	6
34	в своей	2	6
35	и других	2	6
36	мы видим	2	5
37	со всеми	2	5
38	в нем	4	5
39	то что	3	5
40	те же	3	5
41	и для	2	5
42	в основе	3	5
43	для него	6	5
44	том что	3	4
45	до сих	3	4
46	было бы	2	4
47	в основном	3	4
48	и потому	3	4
49	ни в	5	4
50	один из	2	4
51	жизни и	3	4
52	сих пор	3	4
53	все это	4	4
54	только на	3	4
55	о том	2	4
56	и о	2	4
57	и даже	4	4
58	так как	4	4
59	в области	3	4
60	только для	5	3
61	поэтому и	2	3
62	с его	7	3
63	в частности	2	3
64	и к	6	3
65	но это	2	3
66	в начале	2	3
67	в этой	4	3
68	для этого	2	3
69	еще не	5	3
70	и есть	3	3
71	как бы	5	3
72	и наконец	4	3
73	что и	2	3
74	другими словами	2	3
75	вместе с	3	3
76	так и	4	3
77	во всей	2	3
78	не может	8	3
79	а в	3	3
80	на самом	4	3
81	самом деле	6	3
82	между ними	3	3
83	и как	3	3
84	сказать что	7	3
85	при этом	6	3
86	нуждается в	5	3
87	они не	2	3
88	только в	4	3
89	на протяжении	2	3
90	связанные с	2	3
91	но ведь	2	3
92	их в	3	3
93	не менее	2	2
94	есть и	2	2
95	и этот	2	2
96	характерно для	2	2
97	сравнению с	3	2
98	хотя бы	4	2
99	и так	2	2
100	из этих	2	2
101	с нею	2	2
102	что он	2	2
103	и вот	3	2
104	можно сказать	4	2
105	момент в	2	2
106	мы знаем	3	2
107	своей жизни	2	2
108	на этом	3	2
109	все что	4	2
110	конечно не	6	2
111	образов и	2	2
112	в этот	2	2
113	на них	2	2
114	с помощью	2	2
115	на основе	2	2
116	с этим	2	2
117	точки зрения	8	2
118	и ее	4	2
119	но как	2	2
120	по сравнению	3	2
121	все то	2	2
122	в один	4	2
123	и это	6	2
124	того же	2	2
125	мы не	2	2
