N	2gram	Medvedev_F_3	FransuaR
1	и в	27	41
2	таким образом	18	19
3	в этом	18	15
4	и все	8	14
5	как и	14	14
6	в этой	2	13
7	то же	15	13
8	все эти	6	13
9	мы уже	3	12
10	в его	7	12
11	прежде всего	4	11
12	в том	7	11
13	как мы	8	11
14	в себе	3	11
15	так и	21	10
16	все это	7	10
17	в то	7	10
18	и его	19	9
19	не в	12	9
20	же время	7	9
21	но и	10	9
22	в своем	2	9
23	что в	8	9
24	в конце	3	8
25	и от	11	8
26	то что	8	8
27	но в	6	8
28	в них	3	7
29	вовсе не	28	7
30	в романе	4	7
31	как бы	8	7
32	в нем	15	7
33	и не	30	7
34	в эпоху	3	7
35	это не	3	6
36	ни в	8	6
37	с помощью	8	6
38	только в	8	6
39	о том	4	6
40	уже в	4	5
41	к этому	2	5
42	не только	9	5
43	на этом	2	5
44	в ней	5	5
45	вместе с	6	5
46	что и	2	5
47	мы видели	4	5
48	как в	4	5
49	и для	6	5
50	так же	9	5
51	точки зрения	16	5
52	и это	2	5
53	потому что	7	5
54	на земле	2	4
55	место в	10	4
56	что это	3	4
57	из одного	2	4
58	том что	4	4
59	одна из	2	4
60	слов и	4	4
61	было бы	6	4
62	в сущности	2	4
63	может быть	25	4
64	в виду	3	4
65	и на	3	4
66	и с	3	4
67	конце концов	2	4
68	ничего не	2	4
69	поэтому и	2	3
70	сам он	2	3
71	в отношении	2	3
72	того же	3	3
73	и потому	5	3
74	он может	2	3
75	он был	4	3
76	но это	2	3
77	такой же	2	3
78	совсем не	5	3
79	в своей	6	3
80	при этом	8	3
81	в формах	2	3
82	из них	2	3
83	и их	5	3
84	и эта	3	3
85	таким же	2	3
86	является и	2	3
87	о нем	3	3
88	что он	6	3
89	с ее	2	3
90	проявляется в	2	3
91	жизни и	4	3
92	во всех	3	3
93	не может	24	3
94	в той	3	3
95	с точки	14	3
96	той же	3	3
97	и те	4	3
98	тем что	5	3
99	не на	3	3
100	как о	2	3
101	его в	7	3
102	так сказать	5	3
103	так как	9	3
104	от этого	2	3
105	учение о	2	2
106	с его	2	2
107	все время	6	2
108	ни было	5	2
109	где она	2	2
110	а на	2	2
111	и др	2	2
112	никогда не	5	2
113	связаны с	2	2
114	в этих	3	2
115	и со	2	2
116	характерно что	2	2
117	здесь и	6	2
118	и во	2	2
119	в одной	5	2
120	же что	2	2
121	превращаются в	2	2
122	на самом	14	2
123	человека в	2	2
124	и ее	6	2
125	к тому	4	2
126	связано с	2	2
127	следовательно и	4	2
128	отношению к	3	2
129	и как	4	2
130	они и	3	2
131	в большинстве	4	2
132	до конца	4	2
133	еще не	6	2
134	того что	3	2
135	в реальном	5	2
136	одной из	2	2
137	без труда	2	2
138	дело не	2	2
139	оно не	3	2
140	должен быть	2	2
141	не есть	4	2
142	время в	3	2
143	в процессе	15	2
144	по отношению	3	2
145	в связи	4	2
146	весь этот	2	2
147	этом отношении	3	2
148	только на	4	2
149	а не	17	2
150	уже не	3	2
151	роль в	4	2
152	жизнь и	3	2
153	мы не	4	2
154	у них	2	2
155	в данном	6	2
156	в результате	5	2
157	их в	3	2
158	во всяком	6	2
159	может иметь	2	2
160	в литературе	6	2
161	к самому	2	2
162	в которых	3	2
163	ту же	2	2
164	может стать	3	2
165	как он	2	2
166	дело в	2	2
167	большинстве случаев	5	2
168	бы в	6	2
169	в области	2	2
170	том как	2	2
