N	2gram	Potebnia_M_4	KFilosof
1	может быть	26	43
2	в его	5	39
3	в нем	7	31
4	не может	11	27
5	и не	18	26
6	по отношению	10	25
7	и в	23	22
8	в котором	4	21
9	отношению к	8	21
10	в себе	14	21
11	для меня	10	20
12	не есть	9	19
13	в ее	2	17
14	а не	12	17
15	и его	2	17
16	только в	15	16
17	точки зрения	4	13
18	в этом	23	13
19	для него	5	12
20	и это	2	12
21	все эти	3	11
22	не в	11	11
23	к нему	5	11
24	из себя	2	10
25	в своем	8	10
26	это не	7	10
27	все это	5	10
28	с точки	3	10
29	и есть	3	9
30	но и	11	9
31	как бы	5	9
32	и все	4	9
33	и для	2	9
34	не было	12	8
35	лишь в	3	8
36	если бы	13	8
37	было бы	8	8
38	со стороны	3	8
39	и здесь	2	7
40	вовсе не	7	7
41	конечно не	2	7
42	что и	7	7
43	то что	29	7
44	я не	2	6
45	и я	2	6
46	в смысле	3	6
47	в том	23	6
48	но это	3	6
49	отношение к	2	6
50	и только	3	6
51	в мире	2	6
52	и их	3	6
53	он не	2	6
54	не значит	2	6
55	уже не	3	6
56	никогда не	3	5
57	хотя бы	4	5
58	но эта	2	5
59	то же	14	5
60	от его	2	5
61	именно в	3	5
62	не имеет	5	5
63	должно быть	5	5
64	его в	4	5
65	с ним	5	5
66	но в	8	5
67	как и	14	5
68	что я	11	5
69	есть лишь	2	5
70	не только	10	5
71	мы имеем	4	5
72	там где	3	5
73	что в	17	4
74	для нас	14	4
75	здесь мы	2	4
76	при этом	15	4
77	к ним	2	4
78	в своих	2	4
79	с ними	3	4
80	между тем	9	4
81	в одном	4	4
82	не как	2	4
83	том что	12	4
84	только как	4	4
85	а в	5	4
86	тем самым	4	4
87	в каком	4	4
88	бы и	5	3
89	независимо от	6	3
90	что это	7	3
91	не менее	5	3
92	в каждом	3	3
93	из него	2	3
94	в свою	2	3
95	в виду	3	3
96	когда я	7	3
97	и тем	4	3
98	от того	4	3
99	того что	14	3
100	и на	3	3
101	в ней	2	3
102	в то	4	3
103	о том	8	3
104	мы не	8	3
105	тогда когда	8	3
106	от него	2	3
107	по своему	2	3
108	еще не	3	3
109	не могу	2	3
110	быть и	2	3
111	бы не	3	3
112	на самом	3	3
113	самом деле	3	3
114	для того	6	3
115	что не	6	3
116	тем как	2	3
117	тем что	10	3
118	могут быть	7	3
119	слова в	3	2
120	ни был	3	2
121	вопрос о	2	2
122	его к	2	2
123	тем не	4	2
124	было и	2	2
125	и как	2	2
126	это есть	3	2
127	возможность в	3	2
128	же время	3	2
129	и мы	5	2
130	что значит	2	2
131	по себе	11	2
132	тому что	2	2
133	что есть	3	2
134	быть не	2	2
135	и других	3	2
136	именно на	2	2
137	не из	5	2
138	потому что	33	2
139	может иметь	2	2
140	говорить о	5	2
141	в сознании	4	2
142	что только	2	2
143	ни к	2	2
144	а как	2	2
145	и то	5	2
146	с тем	7	2
147	из нее	2	2
148	думать что	4	2
149	человек не	2	2
150	что он	4	2
151	не будет	3	2
152	не нужно	2	2
153	тот же	2	2
154	и может	4	2
155	и тот	3	2
156	в это	2	2
157	но есть	4	2
158	и когда	2	2
159	и потому	10	2
160	этого слова	7	2
161	дело не	2	2
162	оно не	2	2
163	в процессе	3	2
164	так и	6	2
165	как в	7	2
166	в ту	2	2
167	в виде	2	2
168	еще более	2	2
169	того чтобы	4	2
170	в данном	4	2
171	это можно	2	2
172	и та	4	2
173	один и	5	2
174	как оно	2	2
175	же с	2	2
176	в области	2	2
