N	2gram	Vinokur_Ku_3	Dialekti
1	не есть	3	54
2	т е	32	48
3	и не	10	27
4	а не	11	26
5	точки зрения	23	25
6	и в	23	24
7	и т	54	24
8	не только	17	23
9	т д	8	23
10	что такое	4	21
11	по себе	6	20
12	не может	6	19
13	не просто	2	18
14	ничего не	6	17
15	и есть	5	16
16	и что	7	15
17	что все	2	14
18	в таком	4	14
19	то что	4	14
20	с точки	16	14
21	может быть	14	13
22	таким образом	9	13
23	что он	6	13
24	вовсе не	5	13
25	что это	3	12
26	того что	11	12
27	не менее	12	11
28	не имеет	3	11
29	что же	5	11
30	тем не	9	10
31	отнюдь не	3	10
32	она есть	2	10
33	таком случае	2	10
34	в сущности	4	10
35	ни в	3	9
36	то это	3	9
37	но и	3	9
38	что она	5	9
39	есть не	3	9
40	учение о	2	8
41	прежде всего	9	8
42	и как	2	8
43	отличается от	2	8
44	что мы	2	8
45	том что	11	8
46	в этом	16	8
47	если же	2	8
48	что в	13	7
49	в самом	13	7
50	в особенности	2	7
51	потому что	12	7
52	в виду	8	7
53	ясно что	4	7
54	это и	3	7
55	как и	5	7
56	как раз	4	7
57	я не	5	6
58	должна быть	3	6
59	кроме того	2	6
60	но если	3	6
61	все это	2	6
62	и только	3	6
63	и с	3	6
64	о том	6	6
65	так как	9	6
66	если бы	8	6
67	что и	6	6
68	то же	6	6
69	самом деле	14	6
70	и пр	3	6
71	с этой	3	5
72	как же	3	5
73	в том	22	5
74	но это	5	5
75	только как	4	5
76	хотя и	5	5
77	точка зрения	4	5
78	как на	8	5
79	в то	3	5
80	как это	7	5
81	вопрос о	11	5
82	тогда когда	4	5
83	и к	3	5
84	было бы	16	5
85	он не	3	5
86	так и	6	5
87	уже не	8	5
88	что не	4	5
89	мы не	3	5
90	сам по	3	5
91	только в	6	5
92	тому что	4	4
93	с другой	7	4
94	это не	3	4
95	не могут	5	4
96	или иной	7	4
97	сама по	2	4
98	к тому	3	4
99	как о	3	4
100	хотя бы	9	4
101	что есть	2	4
102	так же	2	4
103	сказать что	7	4
104	а что	2	4
105	говорить что	3	4
106	у нас	10	4
107	говорить о	6	4
108	конечно не	2	4
109	от того	5	4
110	только что	2	4
111	в чем	5	4
112	тому как	2	4
113	е в	2	4
114	не было	4	3
115	все же	5	3
116	вопрос об	2	3
117	за пределы	2	3
118	и без	2	3
119	в своем	4	3
120	и я	2	3
121	что именно	3	3
122	не в	5	3
123	она не	3	3
124	он будет	2	3
125	одной стороны	4	3
126	тем более	5	3
127	то и	2	3
128	с одной	4	3
129	все эти	7	3
130	того или	3	3
131	должно быть	7	3
132	ни на	2	3
133	тем что	5	3
134	и значит	2	3
135	на себя	2	3
136	есть слово	2	3
137	только тогда	4	3
138	в силу	6	3
139	только о	2	3
140	зависимости от	8	3
141	и о	4	3
142	не значит	5	3
143	как бы	5	3
144	тем самым	4	3
145	для того	12	3
146	раз и	2	3
147	той же	3	3
148	в слове	4	3
149	в каком	3	3
150	не знает	2	3
151	но на	3	2
152	что если	2	2
153	в частности	2	2
154	и говорить	2	2
155	из этих	5	2
156	из того	2	2
157	как таковой	2	2
158	для нас	4	2
159	тому же	3	2
160	есть конечно	2	2
161	на этом	2	2
162	еще не	9	2
163	при этом	6	2
164	и если	2	2
165	есть также	2	2
166	нас к	2	2
167	но для	3	2
168	не о	2	2
169	той или	5	2
170	совершенно не	5	2
171	говоря уже	2	2
172	и тем	6	2
173	не говоря	2	2
174	вопросе о	2	2
175	а именно	3	2
176	другой стороны	3	2
177	целый ряд	4	2
178	для этого	6	2
179	как например	2	2
180	мы говорим	4	2
181	быть не	2	2
182	еще и	2	2
183	именно в	3	2
184	и вот	3	2
185	они не	3	2
186	а в	5	2
187	также и	5	2
188	никак не	2	2
189	однако что	4	2
190	в ней	3	2
191	и здесь	2	2
192	в первом	5	2
193	уже о	2	2
194	когда мы	3	2
195	слово в	3	2
196	но в	2	2
197	я и	3	2
198	же мы	4	2
199	и чтобы	2	2
200	в зависимости	7	2
201	в их	6	2
202	или иного	3	2
203	в условиях	2	2
204	но как	3	2
205	по существу	3	2
206	то в	3	2
207	но не	3	2
208	во внимание	5	2
209	тех пор	4	2
210	говорить и	3	2
211	всего этого	3	2
212	так в	2	2
213	как я	2	2
214	как мы	5	2
215	и нужно	2	2
216	нас в	3	2
217	тот или	2	2
218	в данном	7	2
219	во всяком	2	2
220	могут быть	6	2
221	учения о	4	2
222	в его	11	2
