N	2gram	Savitsky_E_1	Analitik
1	не только	18	22
2	и в	37	18
3	как и	7	14
4	так и	10	14
5	в этом	12	14
6	но и	14	13
7	в частности	5	12
8	том что	6	12
9	в качестве	14	12
10	и не	14	12
11	а в	2	10
12	как бы	6	10
13	то есть	6	10
14	может быть	6	9
15	со стороны	5	9
16	что в	21	9
17	а не	2	9
18	в том	11	9
19	и даже	6	8
20	всего лишь	3	8
21	с другой	7	7
22	но не	5	7
23	в его	2	7
24	во второй	3	7
25	к тому	8	6
26	не в	5	6
27	в этой	2	6
28	он не	2	6
29	в их	11	6
30	о том	3	6
31	никогда не	3	5
32	не является	3	5
33	в случае	2	5
34	прежде всего	9	5
35	в свою	3	5
36	или иной	4	5
37	того же	3	5
38	как нам	5	5
39	в самом	4	5
40	что и	3	5
41	в мире	2	5
42	другой стороны	2	5
43	в результате	3	5
44	между тем	8	5
45	представляет собой	3	5
46	отнюдь не	9	4
47	в своем	14	4
48	столь же	5	4
49	в одном	2	4
50	по себе	4	4
51	можно сказать	4	4
52	и к	3	4
53	и как	2	4
54	свою очередь	2	4
55	во втором	2	4
56	в пределах	25	4
57	не есть	2	4
58	таким образом	2	4
59	тем самым	5	4
60	и на	6	4
61	в данном	3	4
62	далеко не	2	4
63	в ее	8	3
64	и того	2	3
65	было бы	8	3
66	же время	14	3
67	той или	4	3
68	известной степени	3	3
69	если в	2	3
70	не будет	3	3
71	данном случае	2	3
72	как в	3	3
73	то же	15	3
74	этом отношении	3	3
75	именно в	4	3
76	поскольку он	2	3
77	мы не	4	3
78	с этим	2	3
79	точки зрения	23	3
80	но как	2	3
81	в то	16	3
82	как это	4	3
83	бы и	3	2
84	ни столь	2	2
85	могут быть	2	2
86	в них	3	2
87	и от	3	2
88	и ту	2	2
89	совершенно очевидно	2	2
90	есть не	2	2
91	несмотря на	4	2
92	же в	2	2
93	говорит о	3	2
94	то в	4	2
95	с тем	3	2
96	мира и	3	2
97	по своему	7	2
98	очевидно что	3	2
99	в большинстве	2	2
100	или точнее	2	2
101	не более	3	2
102	одной стороны	8	2
103	в общем	3	2
104	иначе говоря	2	2
105	по преимуществу	2	2
106	хотя и	2	2
107	в ней	4	2
108	и потому	5	2
109	а также	7	2
110	всяком случае	3	2
111	по своей	2	2
112	только к	2	2
113	даже в	4	2
114	нам кажется	7	2
115	то что	6	2
116	в культуре	3	2
117	когда он	3	2
118	во всех	6	2
119	вместе с	2	2
120	не может	9	2
121	с одной	8	2
122	но с	2	2
123	в той	5	2
124	в значительной	2	2
125	более чем	2	2
126	с точки	17	2
127	и по	5	2
128	и для	3	2
129	и прежде	3	2
130	сказать что	4	2
131	во всяком	3	2
132	мы можем	3	2
133	тем что	3	2
134	на себя	3	2
135	в себе	9	2
136	только в	9	2
137	и все	2	2
138	дело в	3	2
139	там где	3	2
140	но в	14	2
