N	2gram	Vygotskiy__4	Komedia
1	и в	33	26
2	и не	13	14
3	едва ли	2	14
4	к тому	12	12
5	так и	3	12
6	и его	5	12
7	в том	21	11
8	тому же	3	11
9	может быть	22	11
10	но и	3	10
11	в этом	28	10
12	что в	21	9
13	столь же	2	9
14	том что	22	9
15	если бы	10	9
16	вместе с	8	9
17	ясно что	5	8
18	было бы	12	8
19	и на	5	7
20	из них	4	7
21	не только	7	7
22	что и	3	7
23	в своем	7	6
24	во время	6	6
25	то что	44	6
26	в нем	7	6
27	в двух	4	6
28	того чтобы	22	6
29	потому что	24	6
30	и здесь	3	6
31	в то	3	6
32	о том	20	6
33	таким образом	13	6
34	с его	2	5
35	с тем	4	5
36	в которой	4	5
37	к этому	4	5
38	что он	20	5
39	один из	2	5
40	ни в	3	5
41	с этим	5	5
42	для того	23	5
43	так что	7	5
44	и с	2	5
45	больше чем	2	5
46	место в	2	4
47	уже в	2	4
48	в частности	4	4
49	у него	6	4
50	больше того	3	4
51	тому что	6	4
52	в них	2	4
53	что у	4	4
54	и от	2	4
55	прежде всего	2	4
56	из этих	2	4
57	как мы	4	4
58	меньше всего	2	4
59	как и	5	4
60	в целом	5	4
61	как будто	8	4
62	в его	10	4
63	все же	5	4
64	не по	2	4
65	в самом	12	4
66	и для	3	4
67	за то	3	4
68	что для	5	4
69	можно было	4	4
70	точки зрения	6	4
71	в руках	2	4
72	только в	4	4
73	что это	13	4
74	так как	12	4
75	на этот	3	4
76	как это	14	4
77	его в	3	4
78	это было	4	4
79	до тех	2	3
80	с этой	4	3
81	вопрос о	2	3
82	то время	2	3
83	надо было	2	3
84	в тех	2	3
85	но если	3	3
86	мы знаем	2	3
87	жизни и	4	3
88	что его	3	3
89	но все	2	3
90	связи с	2	3
91	но не	3	3
92	во всех	2	3
93	же время	2	3
94	здесь в	3	3
95	для нас	7	3
96	по поводу	4	3
97	никто не	4	3
98	из которых	3	3
99	например в	3	3
100	да и	3	3
101	в ней	6	3
102	в котором	2	3
103	речь идет	3	3
104	не имеет	2	3
105	себя в	4	3
106	тех пор	2	3
107	в своей	4	3
108	даже не	2	3
109	в их	2	3
110	все это	13	3
111	дело с	3	3
112	той же	4	3
113	то же	9	3
114	не было	3	3
115	как в	3	3
116	в самой	6	3
117	а в	4	3
118	тем что	3	3
119	не может	10	3
120	как он	5	3
121	что касается	2	3
122	это время	2	3
123	в этой	9	3
124	могла бы	4	3
125	но в	2	3
126	мы можем	5	3
127	что ни	2	2
128	все время	24	2
129	и есть	4	2
130	в какой	5	2
131	с другой	2	2
132	не для	3	2
133	это не	6	2
134	в одной	2	2
135	в конце	8	2
136	в одном	3	2
137	вовсе не	5	2
138	что именно	3	2
139	то это	3	2
140	и к	2	2
141	об этом	4	2
142	в ее	2	2
143	идет о	3	2
144	не в	2	2
145	из его	2	2
146	до сих	3	2
147	по которым	2	2
148	одна из	4	2
149	тот же	3	2
150	на этом	3	2
151	бы то	2	2
152	а на	2	2
153	одной стороны	3	2
154	в это	2	2
155	в действительности	2	2
156	и если	9	2
157	вслед за	3	2
158	на сцене	3	2
159	и почему	2	2
160	и дает	2	2
161	он не	11	2
162	друг с	4	2
163	начинает с	2	2
164	как бы	25	2
165	в уста	3	2
166	всяком случае	3	2
167	время как	2	2
168	даже в	2	2
169	не является	2	2
170	хотя бы	2	2
171	и т	6	2
172	с той	2	2
173	и это	5	2
174	в мире	3	2
175	после этого	6	2
176	или его	3	2
177	и за	3	2
178	сих пор	3	2
179	пьесы в	2	2
180	со стороны	2	2
181	что она	10	2
182	целый ряд	5	2
183	т п	3	2
184	с одной	3	2
185	в той	3	2
186	и что	25	2
187	с самого	5	2
188	бы и	2	2
189	мы не	5	2
190	на пути	2	2
191	во всяком	3	2
192	от этого	3	2
193	одно из	2	2
194	и ее	2	2
195	говорить о	3	2
196	с другом	4	2
197	и все	12	2
198	из этого	5	2
199	пьесы и	3	2
200	мы имеем	2	2
201	в виду	2	2
