N	2gram	Bakhtin_Fr_7	KulturaY
1	и в	41	23
2	точки зрения	5	23
3	в том	11	22
4	не только	5	17
5	было бы	4	16
6	в этом	15	16
7	с точки	3	16
8	в области	2	14
9	может быть	4	14
10	что в	9	13
11	потому что	5	12
12	том что	4	11
13	а не	2	11
14	того что	2	11
15	в его	12	11
16	можно было	3	11
17	и не	7	10
18	прежде всего	11	9
19	еще не	2	9
20	таким образом	19	9
21	так как	3	9
22	уже не	2	8
23	в виду	4	8
24	должно быть	4	7
25	в данном	2	7
26	все эти	13	7
27	того как	5	7
28	что и	5	6
29	что он	3	6
30	после того	4	6
31	тот же	2	6
32	при этом	3	6
33	так и	10	6
34	в их	3	6
35	не может	3	6
36	то же	13	6
37	с помощью	6	6
38	только в	6	6
39	о том	6	6
40	ничего не	4	6
41	я не	3	5
42	и есть	3	5
43	вовсе не	7	5
44	слов и	4	5
45	как и	14	5
46	не в	9	5
47	хотя и	4	5
48	как бы	7	5
49	в связи	2	5
50	как мы	11	5
51	а в	5	5
52	но это	3	5
53	также и	2	5
54	тем что	3	5
55	далеко не	2	5
56	в чем	2	5
57	а также	2	4
58	того же	3	4
59	в сущности	4	4
60	в своей	3	4
61	точка зрения	2	4
62	то что	8	4
63	что значит	2	4
64	как в	5	4
65	целый ряд	4	4
66	в своем	9	4
67	не было	3	4
68	в той	3	4
69	тем самым	3	4
70	уже в	5	3
71	что это	4	3
72	как о	3	3
73	это не	6	3
74	на самом	2	3
75	именно в	2	3
76	есть не	2	3
77	к тому	2	3
78	и к	5	3
79	в отношении	3	3
80	ни в	6	3
81	по существу	8	3
82	мы видели	5	3
83	он не	4	3
84	не есть	2	3
85	отношение к	2	3
86	время в	2	3
87	в процессе	2	3
88	но и	9	3
89	по отношению	2	3
90	и вот	2	3
91	мы не	2	3
92	в ней	5	3
93	не имеет	3	3
94	и с	4	3
95	той же	3	3
96	всего этого	2	3
97	в которых	2	3
98	нас в	3	3
99	в результате	2	3
100	может иметь	2	3
101	в то	10	3
102	пока он	2	3
103	так сказать	3	2
104	учение о	2	2
105	такой же	3	2
106	том числе	4	2
107	все это	10	2
108	но все	4	2
109	на том	2	2
110	все они	6	2
111	в одном	3	2
112	что все	2	2
113	этой системы	2	2
114	это в	3	2
115	является и	3	2
116	было как	2	2
117	и здесь	4	2
118	и выражений	2	2
119	и как	2	2
120	более или	2	2
121	по своему	2	2
122	свое время	2	2
123	кроме того	3	2
124	в качестве	9	2
125	в свое	2	2
126	все те	2	2
127	его в	3	2
128	отношению к	2	2
129	слово это	2	2
130	в область	3	2
131	своего рода	2	2
132	вместе с	5	2
133	дело не	2	2
134	или менее	2	2
135	в свете	3	2
136	что есть	2	2
137	в особенности	2	2
138	как я	4	2
139	еще более	2	2
140	не просто	2	2
141	мы найдем	3	2
142	так же	5	2
143	по адресу	2	2
144	не знает	3	2
145	во всяком	2	2
146	на этом	5	2
147	как он	2	2
148	в этих	2	2
149	здесь как	2	2
150	мы имеем	2	2
151	но в	8	2
