N	2gram	Ircho_Kome_2	Otkroven
1	у него	4	22
2	и в	26	19
3	но и	10	13
4	и не	14	13
5	в этом	10	12
6	не в	2	11
7	человека в	3	11
8	может быть	11	11
9	не только	7	11
10	и все	2	10
11	вопрос о	3	10
12	в нем	6	10
13	не было	3	9
14	в самой	3	9
15	потому что	6	9
16	прежде всего	4	9
17	он был	2	8
18	он не	2	7
19	в его	4	7
20	все это	3	6
21	как и	4	6
22	то что	6	5
23	а в	3	5
24	отношение к	2	5
25	о его	4	5
26	в том	11	5
27	в этой	3	5
28	в самом	4	5
29	человеку и	2	5
30	с его	5	4
31	того чтобы	6	4
32	и его	12	4
33	не может	3	4
34	что в	9	4
35	к нему	3	3
36	чем на	2	3
37	в этих	4	3
38	и есть	2	3
39	это не	2	3
40	что он	5	3
41	для того	5	3
42	хотя бы	2	3
43	еще не	6	3
44	и от	4	3
45	и ее	2	3
46	было бы	8	3
47	никто не	3	3
48	о том	6	3
49	как бы	2	3
50	это было	4	3
51	уже в	4	2
52	все же	4	2
53	что и	7	2
54	и для	4	2
55	с тем	5	2
56	в истории	5	2
57	всего в	2	2
58	так и	12	2
59	в своем	6	2
60	что у	4	2
61	сразу же	4	2
62	к этому	5	2
63	и к	2	2
64	не имеет	3	2
65	в ее	2	2
66	в которой	5	2
67	в других	2	2
68	что для	4	2
69	том что	9	2
70	так что	5	2
71	и на	7	2
72	и с	5	2
73	чем в	2	2
74	тем что	3	2
75	одно из	2	2
76	его в	4	2
77	в своей	3	2
78	так как	4	2
79	хотя и	4	2
80	но в	3	2
81	же можно	2	2
82	в уста	2	2
