N	2gram	Savitsky_P_1	Istorich
1	и в	14	25
2	и т	3	20
3	может быть	5	17
4	т е	3	16
5	не только	17	13
6	но и	6	13
7	в его	2	12
8	и не	12	11
9	в этом	10	10
10	с другой	5	9
11	в виде	2	9
12	с тем	3	8
13	что в	4	8
14	том что	4	8
15	в частности	2	7
16	в качестве	9	7
17	то что	4	7
18	одной стороны	3	7
19	в нем	3	7
20	с одной	3	7
21	потому что	3	7
22	только в	7	7
23	это не	3	6
24	прежде всего	3	6
25	не может	4	6
26	не в	5	6
27	могут быть	3	6
28	в том	9	6
29	с этим	2	5
30	для нас	2	5
31	но не	3	5
32	например в	2	5
33	в ней	6	5
34	не будем	2	5
35	мы не	3	5
36	не менее	2	4
37	и тем	2	4
38	в ее	2	4
39	в пределах	8	4
40	наряду с	3	4
41	все это	2	4
42	то же	9	4
43	мы должны	4	4
44	и это	2	4
45	и как	3	3
46	в то	7	3
47	и пр	5	3
48	если в	2	3
49	для того	3	3
50	а в	4	3
51	в которых	5	3
52	и с	2	3
53	в европе	2	3
54	в русской	4	3
55	ей в	3	3
56	по себе	4	2
57	же в	4	2
58	одна из	2	2
59	и мы	2	2
60	если бы	4	2
61	как бы	4	2
62	и потому	4	2
63	во всех	2	2
64	время в	2	2
65	со стороны	2	2
66	и других	2	2
67	а не	2	2
68	того что	2	2
69	точки зрения	3	2
70	что мы	3	2
71	из них	2	2
72	в которую	2	2
