N	3gram	Vinokur_Ku_2	Russkaja
1	то же время	3	10
2	в то же	3	10
3	с точки зрения	8	9
4	в том что	10	7
5	во всяком случае	5	6
6	на самом деле	2	6
7	для того чтобы	8	6
8	на то что	2	4
9	в том случае	2	4
10	не может быть	4	4
11	в конце концов	3	3
12	в лучшем случае	3	3
13	вместе с тем	2	3
14	к вопросу о	2	3
15	том случае если	2	3
16	в этом случае	2	3
17	можно было бы	9	3
18	и в другом	2	2
19	за последнее время	2	2
20	только в том	2	2
21	а следовательно и	2	2
22	чтобы понять что	2	2
23	и в том	2	2
24	точно так же	3	2
25	того или иного	2	2
