N	2gram	Losev_Prob_4	Marksizm
1	может быть	9	28
2	и в	20	19
3	как бы	4	19
4	и не	28	19
5	не может	5	18
6	точки зрения	14	17
7	то же	7	16
8	и его	10	16
9	как мы	3	15
10	в этом	9	15
11	таким образом	8	14
12	не только	24	13
13	с точки	11	13
14	связи с	3	13
15	в нем	5	11
16	если бы	8	11
17	вовсе не	21	11
18	не в	13	10
19	в пределах	2	10
20	но и	14	10
21	том что	12	10
22	так и	10	10
23	для него	3	9
24	при этом	6	9
25	как и	6	9
26	самом деле	3	9
27	а не	7	9
28	отнюдь не	10	8
29	не является	10	8
30	в то	4	8
31	с его	2	8
32	только в	23	8
33	в связи	3	7
34	в том	20	7
35	его в	2	7
36	но в	8	7
37	и более	3	7
38	прежде всего	11	7
39	на самом	5	7
40	и для	4	7
41	в таком	6	7
42	в смысле	5	6
43	к тому	3	6
44	ни в	17	6
45	и как	3	6
46	того чтобы	2	6
47	в самом	2	6
48	ни было	2	6
49	же самое	6	6
50	и все	8	6
51	во всех	4	6
52	если мы	5	6
53	для того	3	6
54	хотя бы	7	6
55	мы можем	3	6
56	или иной	13	5
57	является не	2	5
58	смысле слова	15	5
59	к нему	3	5
60	на этой	2	5
61	так же	5	5
62	и на	3	5
63	того же	2	5
64	совершенно не	3	5
65	в его	3	5
66	мы ни	2	5
67	все же	2	5
68	в той	8	5
69	в данном	6	5
70	тем более	4	5
71	в отношении	4	4
72	это не	7	4
73	той или	14	4
74	то что	15	4
75	и тем	7	4
76	с ними	2	4
77	сказать что	7	4
78	как раз	4	4
79	что он	8	4
80	было бы	14	4
81	конечно не	3	4
82	для себя	2	4
83	только на	2	4
84	и ее	4	4
85	в себе	12	4
86	не существует	5	3
87	учение о	3	3
88	перед нами	13	3
89	каждый раз	5	3
90	в этих	5	3
91	в какой	4	3
92	столь же	2	3
93	с другой	7	3
94	она является	2	3
95	и от	6	3
96	да и	5	3
97	здесь мы	3	3
98	в этой	4	3
99	в ней	7	3
100	за пределы	2	3
101	в котором	2	3
102	в каком	6	3
103	а в	4	3
104	с этим	4	3
105	все эти	16	3
106	в другом	3	3
107	не имеет	4	3
108	же деле	2	3
109	чем же	3	3
110	не было	3	3
111	в истории	3	3
112	о том	5	3
113	так как	5	3
114	сознания и	3	3
115	для его	2	3
116	по себе	11	3
117	в ее	5	3
118	у нас	14	3
119	самом же	2	3
120	в качестве	10	3
121	еще не	7	3
122	одной из	4	3
123	не к	2	3
124	в корне	2	3
125	он не	2	3
126	относится к	2	3
127	что и	3	3
128	не есть	12	3
129	не будет	2	3
130	в своей	4	3
131	мы только	2	3
132	только что	2	3
133	с другими	3	3
134	и то	2	3
135	во всяком	8	3
136	ни взяли	2	3
137	и это	2	3
138	уже в	4	2
139	все время	2	2
140	независимо от	3	2
141	что в	3	2
142	что это	2	2
143	в нашем	12	2
144	иное как	2	2
145	на все	2	2
146	является для	3	2
147	он был	3	2
148	тому же	2	2
149	находятся в	2	2
150	что они	2	2
151	более или	2	2
152	как о	3	2
153	или вернее	2	2
154	мы здесь	2	2
155	не так	3	2
156	является только	2	2
157	они могут	2	2
158	всяком случае	4	2
159	и непосредственно	2	2
160	эти категории	2	2
161	в зависимости	3	2
162	другими словами	3	2
163	жизни и	5	2
164	в своем	3	2
165	именно в	7	2
166	и даже	9	2
167	друг друга	2	2
168	коем случае	3	2
169	и с	7	2
170	по крайней	6	2
171	даже и	13	2
172	xix века	2	2
173	к его	3	2
174	и является	3	2
175	но как	3	2
176	в начале	3	2
177	того или	3	2
178	это будет	2	2
179	то есть	27	2
180	но они	2	2
181	но по	2	2
182	в жизни	3	2
183	или иного	3	2
184	стороны и	2	2
185	в коем	3	2
186	зависимости от	3	2
187	но не	5	2
188	здесь в	5	2
189	и о	5	2
190	и потому	7	2
191	крайней мере	6	2
192	себя в	2	2
193	или менее	2	2
194	и тогда	2	2
195	и прежде	2	2
196	еще более	2	2
197	здесь как	4	2
198	в значительной	2	2
199	что не	4	2
200	и он	2	2
201	мы не	7	2
202	или в	5	2
203	свидетельствует о	2	2
204	то мы	2	2
205	тем что	3	2
206	в виде	22	2
207	далеко не	2	2
208	и являются	2	2
209	это было	2	2
210	вместе с	5	2
