N	2gram	Tiupa_Anal_3	Sovremen
1	не может	2	17
2	точки зрения	3	12
3	может быть	9	12
4	таким образом	4	11
5	мы не	3	9
6	в каждом	3	8
7	в этом	14	7
8	и в	18	7
9	и не	12	6
10	как и	14	6
11	в результате	5	6
12	мы можем	2	6
13	ничего не	3	6
14	прежде всего	5	5
15	все эти	2	5
16	с точки	2	5
17	как бы	10	4
18	в целом	3	4
19	вместе с	2	4
20	это не	2	4
21	а в	10	4
22	не только	22	4
23	в том	9	4
24	в дальнейшем	2	4
25	уже в	3	3
26	все же	4	3
27	отнюдь не	4	3
28	все это	3	3
29	в конце	5	3
30	то же	3	3
31	в нем	2	3
32	а не	9	3
33	и к	4	3
34	когда мы	2	3
35	не в	6	3
36	в этой	6	3
37	одна из	2	3
38	еще не	6	3
39	при этом	11	3
40	было бы	3	3
41	и т.д	2	3
42	в одном	4	3
43	и все	2	3
44	в первом	2	3
45	в себе	2	3
46	что она	2	3
47	но в	2	3
48	и потому	2	3
49	так сказать	2	2
50	совершенно не	2	2
51	не менее	4	2
52	приводит к	4	2
53	в отличие	2	2
54	из этих	3	2
55	с одной	2	2
56	который как	2	2
57	уже не	5	2
58	в свою	5	2
59	или иной	5	2
60	самом деле	2	2
61	роль в	3	2
62	и даже	8	2
63	и по	2	2
64	тем не	2	2
65	той же	5	2
66	тот или	2	2
67	во всяком	2	2
68	свою очередь	4	2
69	могут быть	2	2
70	с этим	3	2
71	что в	9	2
72	говорить о	3	2
73	со всеми	2	2
74	на его	2	2
75	такого рода	5	2
76	в самом	5	2
77	отличие от	2	2
78	в его	7	2
79	всяком случае	2	2
