N	2gram	Tiupa_Narr_2	VLabPisa
1	таким образом	5	27
2	в этом	13	26
3	и в	13	25
4	и т	2	24
5	не только	26	22
6	во сне	2	21
7	может быть	10	21
8	хотя бы	2	20
9	и не	14	19
10	не может	8	17
11	в его	6	15
12	в процессе	2	14
13	прежде всего	6	13
14	в том	14	13
15	этом отношении	3	13
16	в частности	11	12
17	как это	4	12
18	с другой	5	11
19	в силу	4	11
20	в качестве	14	10
21	о том	5	10
22	об этом	4	9
23	что в	4	9
24	для него	4	9
25	но и	15	9
26	то же	4	9
27	т п	2	9
28	по словам	2	8
29	все эти	3	8
30	в своем	6	8
31	не следует	3	8
32	из этих	2	7
33	же в	4	7
34	как и	4	7
35	том что	13	7
36	было бы	2	7
37	в конечном	3	7
38	говорит о	2	7
39	отношению к	5	7
40	по отношению	5	7
41	а не	17	7
42	у него	6	6
43	это не	3	6
44	в себе	8	6
45	то что	8	6
46	в нем	5	6
47	так и	9	6
48	и его	3	6
49	между тем	3	6
50	в то	5	6
51	в результате	2	5
52	тому что	3	5
53	же время	3	5
54	конечном счете	3	5
55	все же	6	5
56	как бы	6	5
57	один из	3	5
58	сказать что	3	5
59	действующих лиц	3	5
60	только в	11	5
61	не в	8	5
62	не является	4	5
63	к тому	9	4
64	никогда не	6	4
65	перед нами	4	4
66	в целом	3	4
67	что он	5	4
68	с его	3	4
69	можно сказать	6	4
70	в ее	4	4
71	одна из	3	4
72	в своей	4	4
73	в самом	2	4
74	как раз	3	4
75	с ними	3	4
76	в этой	4	4
77	и к	6	3
78	во время	2	3
79	в конце	4	3
80	только что	2	3
81	у нас	2	3
82	что они	3	3
83	как о	2	3
84	по поводу	2	3
85	со своим	2	3
86	вслед за	6	3
87	далеко не	5	3
88	и он	2	3
89	в котором	5	3
90	что и	2	3
91	жизни и	4	3
92	именно в	2	3
93	сводится к	9	3
94	того что	6	3
95	и по	3	3
96	так же	2	3
97	в слове	3	3
98	никак не	3	3
99	как на	2	3
100	точки зрения	5	3
101	всего лишь	6	3
102	бы в	2	3
103	том как	2	3
104	не менее	4	2
105	он сам	2	2
106	зависит от	2	2
107	только не	2	2
108	мира и	3	2
109	в жизни	6	2
110	своих героев	2	2
111	с нею	2	2
112	вовсе не	2	2
113	а как	3	2
114	роль в	2	2
115	или иной	3	2
116	но не	3	2
117	но для	2	2
118	как у	4	2
119	еще не	2	2
120	одной стороны	5	2
121	мысль о	2	2
122	о своем	2	2
123	если бы	4	2
124	мы имеем	3	2
125	персонажей и	2	2
126	подчеркнуть что	2	2
127	в ней	2	2
128	часто не	2	2
129	что она	2	2
130	и даже	3	2
131	не вполне	2	2
132	отнюдь не	4	2
133	он может	2	2
134	а в	9	2
135	с одной	5	2
136	в течение	2	2
137	при всей	4	2
138	достоевского и	2	2
139	того чтобы	3	2
140	и для	3	2
141	по его	2	2
142	войны и	4	2
143	можно было	2	2
144	тому как	2	2
145	в своих	2	2
146	не столько	5	2
147	пока еще	3	2
148	хотя и	5	2
149	он не	5	2
150	подобно тому	2	2
151	они не	2	2
152	к его	3	2
153	говорить о	2	2
154	в другом	4	2
155	того или	3	2
156	от его	2	2
157	как он	2	2
158	в чем	2	2
159	которая не	2	2
160	в области	2	2
161	же как	2	2
162	могло бы	2	2
163	в сознании	2	2
164	о чем	2	2
165	но в	6	2
