N	2gram	Nazirov_Tv_1	Literetu
1	не только	7	24
2	при этом	7	19
3	в качестве	2	17
4	но и	3	17
5	а не	5	16
6	в том	7	16
7	в частности	2	15
8	том что	11	14
9	может быть	5	13
10	в году	7	13
11	и не	7	12
12	в этом	6	12
13	прежде всего	4	11
14	в своем	4	11
15	своего рода	4	11
16	то что	8	10
17	в русской	5	10
18	не в	2	8
19	в целом	4	8
20	и в	21	8
21	только в	5	8
22	не менее	6	7
23	я не	3	7
24	в его	13	7
25	как бы	17	7
26	уже не	3	7
27	в себе	2	7
28	я и	3	7
29	в жизни	2	6
30	как и	12	6
31	на смену	2	6
32	того что	3	6
33	xix века	6	6
34	то есть	12	6
35	с его	11	5
36	что он	6	5
37	же время	12	5
38	в конечном	4	5
39	русской литературе	4	5
40	как в	8	5
41	не может	4	5
42	то же	13	5
43	в отличие	2	5
44	уже в	3	5
45	тем самым	7	5
46	одним из	4	5
47	в данном	2	5
48	не столько	2	5
49	в то	15	5
50	отличие от	2	5
51	конечном счете	4	4
52	это не	4	4
53	представляет собой	3	4
54	но не	3	4
55	еще в	2	4
56	и тем	2	4
57	все же	5	4
58	из них	2	4
59	по преимуществу	2	4
60	в своей	4	4
61	данном случае	2	4
62	так и	2	4
63	никогда не	3	4
64	и его	6	4
65	ведет к	2	4
66	в своих	5	4
67	в этой	5	4
68	в основе	2	3
69	что в	12	3
70	с другой	3	3
71	одного из	2	3
72	что его	2	3
73	одна из	2	3
74	в самом	3	3
75	не мог	2	3
76	у него	7	3
77	же и	2	3
78	один из	4	3
79	жизни и	3	3
80	в их	3	3
81	приводит к	2	3
82	а в	6	3
83	таким образом	5	3
84	в принципе	2	3
85	и даже	3	3
86	той же	3	3
87	потому что	5	3
88	но в	7	3
89	далеко не	3	3
90	дело в	3	3
91	в виду	2	3
92	мира в	2	3
93	во имя	2	2
94	а как	2	2
95	я от	2	2
96	все более	2	2
97	это уже	5	2
98	отнюдь не	5	2
99	однако в	2	2
100	у достоевского	28	2
101	дело не	3	2
102	та же	4	2
103	человека и	4	2
104	в себя	2	2
105	в мире	4	2
106	к тому	2	2
107	тем не	2	2
108	и того	2	2
109	в нашей	2	2
110	что я	3	2
111	того же	2	2
112	для него	6	2
113	даже в	3	2
114	в нем	3	2
115	на том	2	2
116	жизни с	2	2
117	нет не	2	2
118	утверждал что	3	2
119	только на	2	2
120	это как	3	2
121	самом деле	2	2
122	что не	2	2
123	хотя бы	5	2
124	что для	2	2
125	но без	2	2
126	самим собой	4	2
127	не случайно	4	2
128	могут быть	2	2
129	более не	2	2
130	как будто	5	2
131	ту же	3	2
132	о том	6	2
133	в россии	3	2
134	русской литературы	2	2
