N	2gram	Voloshinov_1	Psycholo
1	то что	5	37
2	и в	12	30
3	в том	6	27
4	что в	2	24
5	и что	2	23
6	том что	5	21
7	все время	6	20
8	таким образом	12	20
9	как бы	13	19
10	не только	4	16
11	в самом	4	14
12	в этом	4	14
13	так же	3	13
14	одной стороны	2	12
15	вместе с	2	12
16	с одной	2	12
17	если бы	9	11
18	может быть	14	11
19	как на	2	11
20	что мы	5	11
21	о том	3	10
22	никогда не	5	9
23	с другой	4	9
24	не может	16	9
25	и то	2	9
26	сказать что	7	9
27	так как	9	9
28	мы имеем	2	8
29	он должен	3	8
30	не в	4	8
31	а не	5	8
32	при этом	6	8
33	того что	3	8
34	самом деле	3	8
35	могут быть	2	8
36	этих двух	2	7
37	по себе	3	7
38	в нем	6	7
39	зависимости от	4	7
40	но не	2	7
41	мы можем	2	7
42	все же	4	7
43	то же	5	7
44	точки зрения	14	7
45	героя и	5	7
46	как это	2	7
47	уже в	2	6
48	ясно что	3	6
49	в зависимости	2	6
50	в своем	2	6
51	мы все	4	6
52	как и	5	6
53	и для	3	6
54	но и	3	6
55	и не	10	6
56	жизни и	4	6
57	и его	13	6
58	и здесь	2	6
59	дело с	2	5
60	и потому	2	5
61	еще не	3	5
62	до сих	3	5
63	искусства и	2	5
64	когда он	3	5
65	сих пор	3	5
66	художественное произведение	3	5
67	другой стороны	2	5
68	в себе	3	5
69	но в	5	5
70	только в	6	5
71	же самое	2	5
72	материала и	4	5
73	как только	2	4
74	и все	2	4
75	прежде всего	8	4
76	стороны и	2	4
77	и к	4	4
78	в своей	3	4
79	от того	4	4
80	в ней	6	4
81	в его	2	4
82	в них	3	4
83	не есть	2	4
84	на примере	2	4
85	только на	3	4
86	содержания и	2	4
87	там где	2	4
88	действия и	2	4
89	и совершенно	2	4
90	в виду	5	4
91	художественной формы	5	3
92	и уже	3	3
93	и другие	2	3
94	была бы	2	3
95	бы мы	3	3
96	хотя бы	5	3
97	это не	2	3
98	формы и	3	3
99	формой и	2	3
100	к этому	2	3
101	художественного произведения	7	3
102	одно и	2	3
103	для нас	7	3
104	для него	3	3
105	имеет место	2	3
106	он не	2	3
107	что и	2	3
108	ни в	3	3
109	данном случае	2	3
110	так и	4	3
111	как в	5	3
112	что поэт	2	3
113	и наконец	3	3
114	мы не	3	3
115	и на	4	3
116	в каком	3	3
117	в данном	2	3
118	в этих	2	3
119	с этой	2	2
120	в отношении	2	2
121	с его	2	2
122	в душе	2	2
123	находит свое	3	2
124	себя и	2	2
125	от этой	2	2
126	между собой	2	2
127	с помощью	6	2
128	можно сказать	5	2
129	художественном произведении	3	2
130	до конца	2	2
131	но все	2	2
132	должна быть	5	2
133	и та	2	2
134	с героем	3	2
135	и следовательно	5	2
136	согласие или	2	2
137	в котором	3	2
138	но мы	2	2
139	быть и	3	2
140	в форме	2	2
141	все это	3	2
142	по отношению	11	2
143	мы никогда	2	2
144	в себя	2	2
145	и герой	3	2
146	с точки	2	2
147	между ними	2	2
148	этого взаимодействия	2	2
149	ничего не	2	2
150	нас и	2	2
151	и с	3	2
152	и так	2	2
153	в нашем	11	2
154	в то	2	2
155	каком отношении	2	2
156	если же	2	2
157	все эти	3	2
158	дело в	4	2
159	из этого	3	2
160	едва ли	2	2
161	на самом	4	2
