N	2gram	Savitsky_E_1	formyVre
1	и в	37	46
2	в этом	12	22
3	прежде всего	9	14
4	вовсе не	6	13
5	только в	9	11
6	не только	18	11
7	во всех	6	11
8	в том	11	10
9	как бы	6	10
10	точки зрения	23	10
11	то есть	6	10
12	но в	14	10
13	не в	5	9
14	мира и	3	9
15	вместе с	2	9
16	но и	14	9
17	и не	14	9
18	и для	3	9
19	как и	7	8
20	в его	2	8
21	жизни и	2	8
22	то же	15	8
23	того чтобы	6	8
24	для того	6	8
25	с точки	17	8
26	потому что	3	8
27	из них	3	8
28	в них	3	7
29	в одном	2	7
30	может быть	6	7
31	то что	6	7
32	так и	10	7
33	и на	6	7
34	никогда не	3	6
35	и во	2	6
36	и все	2	6
37	как мы	5	6
38	и наконец	2	6
39	так как	7	6
40	и с	2	6
41	в частности	5	5
42	в своем	14	5
43	с этим	2	5
44	в пределах	25	5
45	в то	16	5
46	но не	5	5
47	он не	2	5
48	что в	21	5
49	в смысле	9	5
50	место в	3	4
51	отнюдь не	9	4
52	жизни в	3	4
53	с этой	6	4
54	же время	14	4
55	же в	2	4
56	том что	6	4
57	с другом	3	4
58	друг с	3	4
59	в котором	2	4
60	в мире	2	4
61	как в	3	4
62	еще более	2	4
63	а не	2	4
64	также и	7	4
65	в себе	9	4
66	в истории	2	4
67	о том	3	4
68	не является	3	3
69	того же	3	3
70	к тому	8	3
71	и как	2	3
72	это значит	2	3
73	тем более	4	3
74	в качестве	14	3
75	в большинстве	2	3
76	в прошлом	3	3
77	имеет место	2	3
78	хотя и	2	3
79	а также	7	3
80	что на	2	3
81	точка зрения	2	3
82	что и	3	3
83	ее в	3	3
84	всего в	2	3
85	целый ряд	2	3
86	не на	4	3
87	таким образом	2	3
88	в их	11	3
89	того что	7	3
90	и даже	6	3
91	и по	5	3
92	и прежде	3	3
93	а в	2	3
94	на основе	2	3
95	в которых	3	3
96	тем что	3	3
97	в этих	2	3
98	большинстве случаев	3	3
99	мира в	4	3
100	и более	2	2
101	по своему	7	2
102	и та	2	2
103	друг от	2	2
104	с другой	7	2
105	и других	2	2
106	что все	2	2
107	представление о	2	2
108	одном из	2	2
109	по себе	4	2
110	дело идет	2	2
111	или иной	4	2
112	одна и	2	2
113	можно сказать	4	2
114	влияние на	2	2
115	в отношении	32	2
116	именно в	4	2
117	мы видим	2	2
118	и имеет	2	2
119	в этой	2	2
120	с тем	3	2
121	во все	3	2
122	между ними	2	2
123	и рядом	2	2
124	она не	2	2
125	было бы	8	2
126	и к	3	2
127	от друга	2	2
128	наряду с	2	2
129	к ним	3	2
130	и потому	5	2
131	если в	2	2
132	мы видели	3	2
133	в некоторых	2	2
134	не может	9	2
135	и только	3	2
136	этом отношении	3	2
137	с одной	8	2
138	в той	5	2
139	с большой	2	2
140	так же	9	2
141	как на	3	2
142	в данном	3	2
143	то в	4	2
144	от этого	5	2
145	и от	3	2
146	могут быть	2	2
147	далеко не	2	2
148	там где	3	2
149	как это	4	2
150	во всяком	3	2
