N	2gram	Nazirov_Vr_1	PoTuStor
1	может быть	4	17
2	и в	8	16
3	таким образом	2	9
4	в этом	8	9
5	и его	3	8
6	и с	6	8
7	точки зрения	2	8
8	не может	2	8
9	с его	3	7
10	не только	9	7
11	и это	2	6
12	с точки	2	6
13	для него	2	6
14	при этом	4	6
15	отношение к	2	5
16	в чем	3	5
17	еще не	2	5
18	как бы	4	5
19	в него	2	5
20	в нем	6	4
21	отнюдь не	2	4
22	но и	7	4
23	все это	4	4
24	и все	7	4
25	и не	5	4
26	и ее	2	4
27	и даже	6	4
28	в этой	2	4
29	его в	3	4
30	но в	6	4
31	в его	3	4
32	во время	2	3
33	мы знаем	2	3
34	что в	7	3
35	вместе с	2	3
36	матери и	3	3
37	отношения к	2	3
38	к себе	2	3
39	в том	3	3
40	чувств и	2	3
41	а в	2	3
42	том что	3	3
43	и как	3	3
44	то что	7	3
45	их в	2	3
46	не менее	2	2
47	же как	2	2
48	никогда не	2	2
49	в них	2	2
50	то же	5	2
51	с нею	2	2
52	к этому	3	2
53	что он	4	2
54	и т.п	2	2
55	на первый	2	2
56	у него	5	2
57	для нас	4	2
58	в этот	3	2
59	как и	6	2
60	на основе	2	2
61	так же	4	2
62	но это	2	2
63	и образы	2	2
64	он не	3	2
65	нашего времени	2	2
66	в начале	6	2
67	о том	4	2
68	но как	2	2
69	в своей	2	2
70	и о	3	2
71	с ним	4	2
72	к ним	2	2
