N	2gram	Tiupa_Teor_1	FransuaR
1	и в	18	56
2	то есть	12	24
3	в романе	3	21
4	в его	6	18
5	таким образом	3	17
6	все эти	2	15
7	в этом	8	14
8	в том	16	13
9	так и	10	13
10	и его	8	12
11	в то	6	12
12	в этих	3	11
13	как бы	5	11
14	и т.п	4	11
15	в них	2	11
16	то же	7	11
17	же время	5	10
18	еще не	4	10
19	только в	6	9
20	в самом	4	9
21	но и	9	9
22	и не	13	9
23	том что	9	8
24	по своему	2	8
25	не только	16	8
26	в нем	4	8
27	все это	2	8
28	и даже	2	8
29	в частности	16	7
30	в большинстве	2	7
31	прежде всего	2	6
32	вовсе не	3	6
33	в ее	5	6
34	в этой	3	6
35	в той	2	6
36	потому что	3	6
37	точки зрения	9	6
38	но в	9	6
39	но не	9	5
40	с его	5	5
41	никогда не	4	5
42	в отношении	3	5
43	в пределах	5	5
44	с ее	3	5
45	как и	4	5
46	и другие	2	5
47	одним из	2	5
48	он не	3	5
49	один из	2	5
50	своего рода	7	5
51	что в	9	5
52	роль в	2	5
53	в области	4	5
54	времени и	2	4
55	и ее	3	4
56	в себе	9	4
57	в качестве	24	4
58	и к	3	4
59	за пределы	2	4
60	и потому	2	4
61	даже в	3	4
62	тарасе бульбе	2	4
63	с одной	2	4
64	при этом	12	4
65	в тарасе	2	4
66	в основе	3	4
67	их в	3	4
68	в эпизоде	3	4
69	по своей	3	4
70	в которой	2	4
71	том числе	2	3
72	перед нами	2	3
73	казалось бы	2	3
74	в своем	4	3
75	в литературе	2	3
76	и здесь	2	3
77	в первой	5	3
78	может быть	17	3
79	первой части	2	3
80	и о	4	3
81	одной из	2	3
82	а также	6	3
83	что и	2	3
84	то что	3	3
85	в форме	2	3
86	в их	2	3
87	не на	2	3
88	уже не	4	3
89	времени в	2	3
90	не в	7	3
91	сказать что	3	3
92	между тем	5	3
93	речи и	2	3
94	но он	3	3
95	к его	2	3
96	в другом	3	3
97	и т.д	3	3
98	к которому	3	3
99	только не	2	2
100	если бы	3	2
101	в нашем	4	2
102	о себе	2	2
103	с другой	7	2
104	это не	2	2
105	на языке	2	2
106	в одном	2	2
107	границ между	2	2
108	для понимания	2	2
109	можно сказать	3	2
110	ни в	2	2
111	и как	2	2
112	в узком	3	2
113	а на	3	2
114	для него	2	2
115	с их	2	2
116	одной стороны	2	2
117	а в	13	2
118	по преимуществу	4	2
119	хотя и	3	2
120	между ними	4	2
121	на две	3	2
122	в точке	2	2
123	в своей	6	2
124	в мире	19	2
125	вместе с	2	2
126	дело не	2	2
127	данном случае	5	2
128	что она	2	2
129	или менее	2	2
130	другой стороны	5	2
131	так же	2	2
132	как раз	2	2
133	не может	4	2
134	как к	2	2
135	нового времени	3	2
136	и некоторые	2	2
137	а не	9	2
138	и для	2	2
139	с точки	3	2
140	его в	2	2
141	в слове	3	2
142	в данном	8	2
143	и то	2	2
144	языка в	4	2
145	далеко не	2	2
146	дело в	2	2
147	более или	2	2
