N	2gram	Tiupa_Disk_2	Hudozhes
1	том что	10	16
2	и в	16	14
3	так и	9	13
4	а не	14	12
5	в том	8	12
6	не только	10	12
7	при этом	17	12
8	о том	4	12
9	прежде всего	7	11
10	анекдота и	6	11
11	в этом	16	11
12	в себе	19	11
13	в рассказе	4	11
14	для него	5	10
15	в своей	6	10
16	что он	2	9
17	как и	16	9
18	в качестве	16	9
19	то же	6	9
20	как в	8	8
21	и притчи	5	8
22	то что	5	8
23	же время	5	8
24	отношению к	4	8
25	по отношению	4	8
26	между тем	2	8
27	в этой	4	8
28	в то	5	8
29	в его	3	8
30	это не	3	7
31	личности в	2	7
32	уже не	3	7
33	не в	3	7
34	еще не	6	7
35	своего рода	10	7
36	как бы	4	7
37	не может	9	7
38	именно в	2	7
39	а в	2	7
40	тогда как	11	7
41	никогда не	2	6
42	что в	5	6
43	рассказа в	2	6
44	жизни в	3	6
45	человека в	4	6
46	в концовке	2	6
47	не менее	7	5
48	перед нами	3	5
49	с его	6	5
50	к жизни	3	5
51	в частности	12	5
52	в этих	3	5
53	интерес к	2	5
54	может быть	16	5
55	только в	3	5
56	но и	11	5
57	жизни и	3	5
58	и его	3	5
59	потому что	4	5
60	ни в	7	5
61	точки зрения	4	5
62	но в	11	5
63	в анекдоте	3	4
64	в своем	5	4
65	столь же	3	4
66	и все	3	4
67	бытия и	2	4
68	можно сказать	3	4
69	чеховского творчества	2	4
70	картины мира	7	4
71	в ней	2	4
72	картина мира	4	4
73	себя в	6	4
74	из них	3	4
75	не было	3	4
76	художественного целого	4	4
77	человеческой жизни	2	4
78	он не	3	4
79	по своей	6	4
80	как будто	3	4
81	в русской	3	4
82	и это	2	4
83	и с	2	4
84	но не	7	3
85	но одновременно	3	3
86	отнюдь не	6	3
87	себе самому	2	3
88	это в	2	3
89	идет о	2	3
90	в мире	11	3
91	в ходе	2	3
92	говорить о	2	3
93	творчестве чехова	2	3
94	в пределах	4	3
95	такого рода	9	3
96	по преимуществу	2	3
97	несет в	2	3
98	еще в	3	3
99	для себя	2	3
100	в нем	7	3
101	русской литературе	2	3
102	все же	6	3
103	со стороны	10	3
104	в тексте	3	3
105	приводит к	3	3
106	и для	2	3
107	этом отношении	4	3
108	все эти	3	3
109	с точки	2	3
110	анекдотического и	2	3
111	в своих	6	3
112	такой же	2	3
113	и на	5	3
114	чехова в	2	3
115	притчи и	2	3
116	его в	3	3
117	картину мира	4	3
118	а также	8	3
119	в творчестве	3	3
120	может и	2	3
121	ни к	5	2
122	в рамках	7	2
123	как все	2	2
124	рассказа не	2	2
125	или напротив	2	2
126	не столько	3	2
127	н.д тамарченко	2	2
128	в себя	2	2
129	или иного	2	2
130	из таганрога	2	2
131	художественного письма	7	2
132	что на	2	2
133	к своему	2	2
134	не нужно	2	2
135	состоит в	16	2
136	живет в	2	2
137	в другом	3	2
138	с той	2	2
139	в противовес	5	2
140	же как	2	2
141	об одном	3	2
142	в целом	2	2
143	первую очередь	2	2
144	со своим	2	2
145	например в	3	2
146	в первую	2	2
147	героем анекдота	3	2
148	и притчевого	2	2
149	лежит на	2	2
150	что же	2	2
151	все это	2	2
152	заключает в	2	2
153	притчевого начал	2	2
154	при котором	2	2
155	а с	5	2
156	не знает	3	2
157	анекдота но	3	2
158	иначе говоря	3	2
159	и не	15	2
160	жизнью и	2	2
161	при всей	7	2
162	же касается	2	2
163	там же	2	2
164	жанровой стратегии	3	2
165	степи и	2	2
166	героя в	5	2
167	жизни как	2	2
168	должно быть	2	2
169	той же	2	2
170	французов гнал	2	2
171	в результате	2	2
172	пока еще	2	2
173	не о	2	2
174	герой анекдота	2	2
175	с ее	2	2
176	с позиции	4	2
177	отсюда и	2	2
178	не следует	3	2
179	здесь не	2	2
180	о чехове	2	2
181	я и	4	2
