N	3gram	Bakhtin_Pr_1	Problemy
1	в то же	3	12
2	то же время	3	12
3	на самом деле	3	10
4	и т п	13	6
5	не может быть	11	6
6	к нему и	2	5
7	и в то	2	5
8	по отношению к	19	5
9	в этом смысле	3	4
10	с точки зрения	6	4
11	то ни было	2	4
12	бы то ни	3	4
13	и прежде всего	5	4
14	в самом деле	3	3
15	и в нем	3	3
16	с другой стороны	4	3
17	в высшей степени	5	3
18	той или иной	2	2
19	ни в чем	2	2
20	так и в	2	2
21	в его целом	5	2
22	в большинстве случаев	5	2
23	тем не менее	3	2
24	в отличие от	5	2
25	и не может	2	2
26	не входит в	4	2
27	в чем не	2	2
