N	2gram	Potebnia_M_4	Tvorches
1	и в	23	21
2	как бы	5	17
3	в то	4	15
4	в его	5	13
5	то же	14	13
6	что в	17	12
7	как и	14	12
8	же время	3	12
9	то есть	34	12
10	том что	12	11
11	все это	5	10
12	как в	7	8
13	он не	2	8
14	то что	29	8
15	в свою	2	7
16	в том	23	7
17	тем самым	4	7
18	при этом	15	7
19	не только	10	7
20	и не	18	7
21	и на	3	7
22	но в	8	7
23	что он	4	6
24	и все	4	6
25	не менее	5	6
26	для него	5	6
27	в котором	4	6
28	человека в	2	6
29	а в	5	6
30	и его	2	6
31	в этом	23	6
32	о том	8	6
33	вовсе не	7	5
34	а не	12	5
35	но это	3	5
36	может быть	26	5
37	таким образом	24	5
38	хотя бы	4	5
39	в своих	2	5
40	потому что	33	5
41	только в	15	5
42	в своем	8	4
43	человека и	3	4
44	в мире	2	4
45	и как	2	4
46	один из	2	4
47	мысли и	7	4
48	не может	11	4
49	это не	7	4
50	не существует	2	3
51	уже в	5	3
52	самого начала	2	3
53	никогда не	3	3
54	с другой	2	3
55	что все	4	3
56	в каждом	3	3
57	я не	2	3
58	с ним	5	3
59	что человек	3	3
60	что я	11	3
61	на его	3	3
62	в самом	3	3
63	той же	3	3
64	даже в	2	3
65	в нем	7	3
66	и т	7	3
67	но и	11	3
68	дело не	2	3
69	в ту	2	3
70	уже не	3	3
71	и других	3	3
72	на самом	3	3
73	там же	3	3
74	того что	14	3
75	и даже	2	3
76	не так	2	3
77	и по	3	3
78	для человека	4	3
79	так же	4	3
80	в которой	6	3
81	и с	4	3
82	хотя и	5	3
83	в виде	2	3
84	ту же	3	3
85	так как	14	3
86	стремится к	2	3
87	от мысли	2	2
88	а как	2	2
89	а что	2	2
90	и та	4	2
91	все более	3	2
92	в этих	3	2
93	на том	2	2
94	по крайней	5	2
95	точно так	2	2
96	есть не	4	2
97	можно сказать	4	2
98	что и	7	2
99	с которым	2	2
100	влияние на	2	2
101	крайней мере	5	2
102	что его	2	2
103	об этом	2	2
104	так что	5	2
105	не в	11	2
106	то в	3	2
107	отношений между	2	2
108	быть может	4	2
109	было в	3	2
110	не нужно	2	2
111	тот же	2	2
112	мысль о	6	2
113	к тому	3	2
114	только на	4	2
115	не могу	2	2
116	в ней	2	2
117	к ней	2	2
118	и когда	2	2
119	из себя	2	2
120	когда я	7	2
121	и тем	4	2
122	тем не	4	2
123	не будет	3	2
124	вместе с	6	2
125	данном случае	2	2
126	так и	6	2
127	до этого	3	2
128	именно в	3	2
129	еще более	2	2
130	в двух	2	2
131	что она	2	2
132	здесь мы	2	2
133	самом деле	3	2
134	что не	6	2
135	и у	2	2
136	и притом	2	2
137	только что	3	2
138	что как	4	2
139	же с	2	2
140	ведет к	3	2
141	сказать что	8	2
142	в первом	3	2
143	могут быть	7	2
144	когда человек	4	2
145	известно что	6	2
146	в данном	4	2
147	в себе	14	2
148	т п	4	2
149	при помощи	3	2
150	так сказать	5	2
151	на деле	2	2
152	не то	5	2
153	в виду	3	2
