N	2gram	Voloshinov_1	slovoVRo
1	и в	16	41
2	в нем	4	30
3	могут быть	3	19
4	во всех	3	17
5	но и	4	16
6	и не	4	16
7	точки зрения	8	16
8	не только	7	16
9	то же	2	14
10	в пределах	2	14
11	может быть	17	14
12	и др	3	14
13	не может	8	14
14	и его	8	14
15	и на	4	14
16	в его	4	13
17	как бы	5	12
18	в этом	9	12
19	так и	4	11
20	в большинстве	3	10
21	таким образом	9	9
22	все эти	5	9
23	прежде всего	9	8
24	но в	4	8
25	как мы	4	8
26	с точки	6	8
27	отношение к	5	7
28	с ним	2	7
29	всех его	2	7
30	в своей	2	7
31	во всяком	3	7
32	того же	2	6
33	при этом	6	6
34	и даже	4	6
35	а в	3	6
36	большинстве случаев	3	6
37	в них	2	6
38	оно не	2	6
39	только в	4	6
40	в самом	2	5
41	всяком случае	3	5
42	все это	4	5
43	в основе	3	5
44	и к	6	5
45	не на	2	5
46	с другими	3	5
47	связанных с	2	4
48	оно и	2	4
49	один из	2	4
50	с ее	4	4
51	за пределы	2	4
52	и наконец	4	4
53	и с	8	4
54	и все	4	4
55	с его	7	4
56	как и	2	4
57	еще не	5	4
58	и потому	3	4
59	и для	2	4
60	ту же	2	4
61	не могут	2	3
62	никогда не	2	3
63	хотя бы	4	3
64	из этих	2	3
65	в том	3	3
66	для него	6	3
67	в него	5	3
68	и других	2	3
69	вообще не	2	3
70	с ними	4	3
71	о том	2	3
72	его в	4	3
73	так как	4	3
74	поэтому и	2	3
75	у него	2	3
76	с этим	2	3
77	связанные с	2	3
78	с этой	2	3
79	и может	4	3
80	было бы	2	3
81	конечно не	6	3
82	но оно	3	3
83	он не	2	3
84	в основном	3	3
85	в свое	2	3
86	и этим	2	3
87	и ее	4	3
88	же как	2	2
89	в частности	2	2
90	можно сказать	4	2
91	и проч	9	2
92	войти в	2	2
93	ни было	2	2
94	для нас	2	2
95	на этом	3	2
96	на язык	3	2
97	между ними	3	2
98	и по	2	2
99	в этих	3	2
100	те же	3	2
101	так же	2	2
102	сказать что	7	2
103	между собой	2	2
104	в одном	3	2
105	к этому	2	2
106	том что	3	2
107	мы видим	2	2
108	по своему	2	2
109	а на	2	2
110	до сих	3	2
111	мы уже	2	2
112	совершенно не	8	2
113	и о	2	2
114	сих пор	3	2
115	на самом	4	2
116	если мы	2	2
117	только на	3	2
118	не есть	2	2
119	мы не	2	2
120	на протяжении	2	2
121	и вообще	2	2
