N	2gram	Potebnia_M_3	Marksizm
1	может быть	28	28
2	и в	30	19
3	как бы	3	19
4	и не	15	19
5	не может	6	18
6	точки зрения	2	17
7	то же	23	16
8	и его	4	16
9	языка и	2	15
10	как мы	7	15
11	в этом	10	15
12	таким образом	14	14
13	так сказать	2	14
14	не только	21	13
15	связи с	2	13
16	в нем	9	11
17	если бы	12	11
18	вовсе не	7	11
19	не в	15	10
20	но и	19	10
21	том что	18	10
22	так и	11	10
23	для него	9	9
24	при этом	3	9
25	как и	10	9
26	самом деле	2	9
27	а не	15	9
28	слова в	7	8
29	же время	5	8
30	по отношению	5	8
31	в то	10	8
32	отношению к	5	8
33	только в	21	8
34	в том	32	7
35	его в	3	7
36	прежде всего	3	7
37	в языке	7	7
38	в таком	3	7
39	в смысле	4	6
40	к тому	7	6
41	ни в	2	6
42	и как	5	6
43	в свою	3	6
44	того чтобы	3	6
45	в самом	8	6
46	и следовательно	3	6
47	и все	3	6
48	между тем	9	6
49	мы уже	2	6
50	слова и	5	6
51	и значением	2	6
52	для того	4	6
53	мы можем	3	6
54	свою очередь	3	5
55	к нему	3	5
56	в форме	2	5
57	в их	2	5
58	как слово	3	5
59	так же	3	5
60	и на	3	5
61	к этому	3	5
62	в его	4	5
63	этого слова	11	5
64	все же	2	5
65	тем более	4	5
66	отношении к	2	5
67	в душе	10	4
68	тому что	3	4
69	на то	2	4
70	о слове	2	4
71	по мере	4	4
72	то что	18	4
73	и тем	5	4
74	мы видели	4	4
75	того что	18	4
76	сказать что	5	4
77	бы в	2	4
78	а как	2	4
79	смысле этого	7	4
80	что он	6	4
81	было бы	9	4
82	для себя	3	4
83	связь с	3	4
84	только на	3	4
85	тем же	4	4
86	в слове	32	4
87	в себе	16	4
88	не существует	3	3
89	перед нами	2	3
90	каждый раз	2	3
91	язык не	2	3
92	в какой	2	3
93	столь же	4	3
94	с другой	7	3
95	и от	4	3
96	для понимания	4	3
97	в этой	2	3
98	одной стороны	3	3
99	в ней	8	3
100	слове и	5	3
101	за пределы	2	3
102	если б	5	3
103	в котором	4	3
104	в каком	5	3
105	а в	12	3
106	с этим	6	3
107	с одной	7	3
108	что оно	11	3
109	не имеет	6	3
110	должно быть	5	3
111	языка в	5	3
112	не было	4	3
113	о том	2	3
114	так как	13	3
115	слово в	4	3
116	таком случае	2	3
117	слова для	3	3
118	не как	2	3
119	по себе	16	3
120	в ее	2	3
121	одно и	5	3
122	до сих	3	3
123	еще не	5	3
124	одной из	2	3
125	не к	4	3
126	он не	4	3
127	относится к	4	3
128	и до	2	3
129	что и	13	3
130	не есть	17	3
131	не будет	3	3
132	в своей	2	3
133	мысли и	2	3
134	только что	8	3
135	слово и	3	3
136	той же	2	3
137	с другими	5	3
138	и то	8	3
139	могут быть	3	3
140	и это	4	3
141	сих пор	3	3
142	место в	3	2
143	уже в	5	2
144	независимо от	5	2
145	что в	17	2
146	что это	4	2
147	именно эти	2	2
148	ближайшим образом	2	2
149	то к	3	2
150	эти последние	2	2
151	на все	2	2
152	не знает	3	2
153	в собственном	2	2
154	его к	2	2
155	же слово	2	2
156	что они	2	2
157	более или	3	2
158	как о	2	2
159	но что	2	2
160	оно ни	2	2
161	одним и	3	2
162	этом последнем	2	2
163	жизни и	2	2
164	слово как	5	2
165	отражается в	2	2
166	в своем	5	2
167	именно в	3	2
168	живой речи	2	2
169	в системе	2	2
170	и даже	2	2
171	друг друга	3	2
172	как на	5	2
173	не следует	5	2
174	и с	2	2
175	по крайней	5	2
176	но как	2	2
177	в начале	3	2
178	одно слово	2	2
179	сравнительно с	5	2
180	слова при	3	2
181	то есть	34	2
182	одно только	3	2
183	от этого	2	2
184	у него	2	2
185	будет ли	2	2
186	на слово	2	2
187	существует для	3	2
188	но не	7	2
189	и о	2	2
190	и потому	4	2
191	крайней мере	5	2
192	собственном смысле	2	2
193	в живой	2	2
194	или менее	3	2
195	и тогда	3	2
196	бы не	4	2
197	или же	4	2
198	а с	2	2
199	здесь как	3	2
200	что не	8	2
201	в речи	2	2
202	ко всем	2	2
203	мы не	9	2
204	говорящего и	3	2
205	или в	3	2
206	тем что	7	2
207	в виде	2	2
208	может стать	2	2
209	далеко не	4	2
210	ответ на	3	2
211	там где	3	2
212	от него	2	2
213	из него	2	2
214	это было	3	2
215	вместе с	12	2
