N	2gram	Tiupa_Anal_1	FransuaR
1	и в	18	40
2	то есть	11	18
3	и его	5	17
4	прежде всего	6	16
5	в этом	13	15
6	не только	15	13
7	и не	21	13
8	в его	13	13
9	что в	5	12
10	вовсе не	2	12
11	как и	13	11
12	но и	17	11
13	и т.п	5	10
14	таким образом	3	10
15	как мы	2	10
16	и все	3	9
17	в сущности	6	9
18	может быть	29	9
19	он не	3	9
20	отношение к	2	8
21	в том	27	8
22	и до	2	8
23	все эти	2	8
24	и с	2	8
25	той же	2	8
26	и на	5	8
27	но в	8	8
28	то же	9	7
29	же время	6	6
30	в самом	6	6
31	в своей	6	6
32	в той	8	6
33	в то	9	6
34	в литературе	4	5
35	в нем	3	5
36	то что	6	5
37	а не	17	5
38	в основе	6	5
39	для него	2	5
40	в нашем	3	4
41	том что	12	4
42	было бы	2	4
43	из них	2	4
44	и потому	2	4
45	а также	3	4
46	даже в	3	4
47	ни в	4	4
48	один из	2	4
49	в мире	8	4
50	в культуре	3	4
51	в их	5	4
52	роль в	2	4
53	о том	5	4
54	и о	2	4
55	в данном	2	4
56	того чтобы	3	4
57	особенно в	2	4
58	также и	2	4
59	так как	2	4
60	в области	4	4
61	том числе	3	3
62	только для	2	3
63	с его	3	3
64	если бы	3	3
65	в частности	19	3
66	и к	3	3
67	в начале	2	3
68	в этой	5	3
69	для этого	2	3
70	большей или	4	3
71	еще не	3	3
72	и есть	3	3
73	такого рода	5	3
74	как бы	5	3
75	о нем	3	3
76	еще в	2	3
77	что и	3	3
78	вместе с	4	3
79	дело не	3	3
80	так и	4	3
81	по отношению	6	3
82	не может	22	3
83	а в	9	3
84	на самом	2	3
85	самом деле	2	3
86	для того	4	3
87	и как	5	3
88	или меньшей	4	3
89	между тем	5	3
90	при этом	12	3
91	нуждается в	8	3
92	в отличие	6	3
93	в себе	11	3
94	в другом	4	3
95	только в	6	3
96	здесь не	2	3
97	отличие от	6	3
98	времени и	6	2
99	хотя бы	3	2
100	с другой	4	2
101	это не	6	2
102	из этих	2	2
103	одного из	2	2
104	какой бы	2	2
105	что он	3	2
106	или иной	6	2
107	можно сказать	2	2
108	все же	4	2
109	основе своей	2	2
110	на этом	2	2
111	но не	10	2
112	как известно	3	2
113	и сам	2	2
114	на его	2	2
115	к нему	3	2
116	свидетельствует о	2	2
117	одним из	3	2
118	той или	6	2
119	думать что	2	2
120	в котором	3	2
121	отношению к	5	2
122	в целом	5	2
123	не к	2	2
124	своего рода	3	2
125	данном случае	2	2
126	который в	2	2
127	этом отношении	2	2
128	именно в	4	2
129	лишь в	5	2
130	на основе	2	2
131	смертью в	2	2
132	потому что	2	2
133	точки зрения	6	2
134	романа в	2	2
135	его к	2	2
136	далеко не	6	2
137	этого слова	7	2
138	как он	3	2
139	в которой	2	2
140	того же	4	2
