N	2gram	Medvedev_F_2	Tvorches
1	и в	38	20
2	не только	9	13
3	и т	14	13
4	никогда не	2	11
5	т д	5	11
6	как бы	4	11
7	в его	10	10
8	таким образом	20	10
9	в то	5	10
10	и его	21	9
11	и не	20	9
12	прежде всего	15	8
13	в том	11	8
14	при этом	9	8
15	но и	13	8
16	может быть	23	8
17	в этом	27	8
18	и с	9	8
19	это не	2	7
20	представление о	2	7
21	же время	5	7
22	что в	7	7
23	не может	14	7
24	то же	6	7
25	потому что	2	7
26	в конце	2	6
27	что он	5	6
28	как и	9	6
29	в целом	3	6
30	в своей	7	6
31	так и	8	6
32	все это	3	6
33	именно в	5	6
34	а не	6	6
35	но это	2	5
36	но не	2	5
37	например в	3	5
38	все же	8	5
39	и даже	4	5
40	и на	3	5
41	в этой	6	5
42	и от	2	4
43	мы не	3	4
44	том что	2	4
45	в дальнейшем	4	4
46	что они	4	4
47	отнюдь не	8	4
48	хотя и	3	4
49	как в	4	4
50	в известной	2	4
51	все эти	6	4
52	тем самым	2	4
53	не в	15	4
54	а в	6	4
55	в чем	2	4
56	ничего не	4	4
57	если бы	5	4
58	но в	4	4
59	место в	3	3
60	же как	3	3
61	превращается в	2	3
62	в одной	2	3
63	к этому	4	3
64	с ним	2	3
65	и отчасти	3	3
66	для него	7	3
67	что не	4	3
68	в самом	16	3
69	он не	6	3
70	в котором	2	3
71	и др	3	3
72	не является	3	3
73	один из	2	3
74	в нем	13	3
75	то что	6	3
76	и это	2	3
77	вместе с	6	3
78	в их	6	3
79	так как	4	3
80	уже не	7	3
81	в таком	2	3
82	этот вопрос	2	3
83	тем что	8	3
84	его в	3	3
85	в плане	2	3
86	между тем	2	3
87	для определения	2	2
88	уже в	2	2
89	все время	6	2
90	с другой	3	2
91	или даже	2	2
92	в такой	2	2
93	вовсе не	11	2
94	и лишь	2	2
95	во всяком	5	2
96	такой же	3	2
97	и ее	6	2
98	что на	2	2
99	в ее	2	2
100	в искусстве	2	2
101	более того	5	2
102	как о	4	2
103	в статье	4	2
104	относится и	2	2
105	всяком случае	5	2
106	не могли	2	2
107	по преимуществу	5	2
108	в процессе	9	2
109	в истории	6	2
110	приводит к	2	2
111	так в	3	2
112	в отличие	2	2
113	т п	9	2
114	не было	6	2
115	и других	2	2
116	сводится к	5	2
117	самом деле	8	2
118	и наконец	4	2
119	другой стороны	4	2
120	не так	2	2
121	и по	2	2
122	особенно в	3	2
123	роль в	3	2
124	с другими	10	2
125	с ними	2	2
126	не столько	4	2
127	в основе	5	2
128	из них	4	2
129	могут быть	6	2
130	в которой	2	2
131	говорить о	5	2
132	и только	5	2
133	только в	6	2
134	но ведь	3	2
135	при помощи	2	2
136	сюжета и	3	2
137	из этого	2	2
138	так сказать	3	2
139	б м	3	2
140	их в	2	2
141	едва ли	2	2
142	отличие от	2	2
