N	2gram	Tiupa_Anal_1	Myshleni
1	внутренней речи	5	67
2	в этом	13	29
3	точки зрения	6	28
4	и в	18	26
5	не только	15	24
6	для себя	2	24
7	то что	6	24
8	таким образом	3	23
9	с точки	4	21
10	представляет собой	16	19
11	того чтобы	3	19
12	в том	27	18
13	и не	21	18
14	для того	4	18
15	том что	12	17
16	потому что	2	16
17	как и	13	15
18	того что	4	14
19	так как	2	14
20	как мы	2	14
21	в ходе	3	12
22	что в	5	12
23	вместе с	4	12
24	и его	5	12
25	в которой	2	11
26	но и	17	11
27	только не	2	11
28	не может	22	11
29	по своей	6	10
30	в самом	6	9
31	что мы	3	9
32	в сущности	6	9
33	в себе	11	9
34	то же	9	8
35	что он	3	8
36	тем самым	7	8
37	той же	2	8
38	только в	6	8
39	к тому	7	7
40	прежде всего	6	7
41	может быть	29	7
42	и к	3	7
43	и то	2	7
44	в какой	2	6
45	вопрос о	2	6
46	по отношению	6	6
47	именно в	4	6
48	как бы	5	6
49	между собой	2	6
50	было бы	2	6
51	все эти	2	6
52	все же	4	6
53	самом деле	2	6
54	а не	17	6
55	в сознании	2	6
56	на вопрос	4	5
57	можно сказать	2	5
58	одной стороны	3	5
59	если бы	3	5
60	в целом	5	5
61	данном случае	2	5
62	с одной	3	5
63	и с	2	5
64	себе в	2	5
65	в начале	2	5
66	же самое	2	5
67	могли бы	2	5
68	тогда когда	2	5
69	в силу	3	5
70	в качестве	31	5
71	отношению к	5	5
72	как говорит	2	5
73	в процессе	2	5
74	же мере	2	5
75	в данном	2	5
76	не могут	3	4
77	никогда не	2	4
78	в нашем	3	4
79	с другой	4	4
80	имеет место	5	4
81	в котором	3	4
82	если в	3	4
83	в его	13	4
84	о том	5	4
85	но в	8	4
86	еще не	3	4
87	не есть	8	4
88	в той	8	4
89	не в	14	4
90	едва ли	2	4
91	в области	4	4
92	для этого	2	3
93	это не	6	3
94	из этих	2	3
95	том и	2	3
96	в собственном	3	3
97	такой же	2	3
98	для него	2	3
99	совпадает с	2	3
100	и является	2	3
101	в основе	6	3
102	не является	2	3
103	как к	2	3
104	этом отношении	2	3
105	и по	2	3
106	он не	3	3
107	нуждается в	8	3
108	в первом	2	3
109	с ним	4	3
110	состоит в	11	3
111	первом случае	2	3
112	по себе	4	3
113	есть не	8	3
114	и заключается	2	3
115	в то	9	3
116	но не	10	3
117	и о	2	3
118	и потому	2	3
119	этого слова	7	3
120	нет и	2	3
121	что и	3	3
122	в своей	6	3
123	так и	4	3
124	на самом	2	3
125	из того	4	3
126	к нему	3	3
127	отличается от	2	3
128	с другими	4	3
129	между двумя	3	3
130	в этой	5	3
131	и состоит	5	3
132	себя и	4	2
133	его и	2	2
134	столь же	4	2
135	никто не	3	2
136	одного из	2	2
137	как известно	3	2
138	его к	2	2
139	ни в	4	2
140	случае не	2	2
141	на его	2	2
142	несмотря на	2	2
143	одним из	3	2
144	в конечном	4	2
145	один из	2	2
146	в нем	3	2
147	отношение к	2	2
148	в их	5	2
149	того и	3	2
150	отношения к	2	2
151	лишь в	5	2
152	по природе	3	2
153	должно быть	2	2
154	а в	9	2
155	самим собой	2	2
156	также и	2	2
157	мере в	3	2
158	и есть	3	2
159	в речь	2	2
160	конечном счете	4	2
161	и другого	4	2
162	в случае	6	2
163	вовсе не	2	2
164	той мере	2	2
165	она может	3	2
166	то в	2	2
167	даже в	3	2
168	и до	2	2
169	что же	2	2
170	в отличие	6	2
171	что не	3	2
172	из которых	4	2
173	могут быть	4	2
174	с другим	4	2
175	вопроса о	3	2
176	которые в	2	2
177	отличие от	6	2
