N	3gram	Medvedev_F_3	KulturaY
1	и т п	5	18
2	в том что	3	15
3	для того чтобы	4	15
4	и т д	6	14
5	с точки зрения	14	9
6	по отношению к	3	8
7	в самом деле	4	7
8	с другой стороны	5	6
9	в этом отношении	3	5
10	во всяком случае	6	5
11	в зависимости от	5	5
12	тем не менее	2	4
13	о том как	2	3
14	в связи с	4	3
15	не может быть	14	3
16	вместе с тем	3	3
17	в этом смысле	2	3
18	то же время	7	2
19	мы увидим что	2	2
20	к тому что	2	2
21	так и в	2	2
22	в то же	7	2
23	на самом деле	12	2
24	социального общения и	2	2
