N	2gram	Losev_Prob_5	OGranits
1	и в	30	13
2	и его	6	12
3	прежде всего	6	9
4	не может	5	8
5	и не	12	8
6	может быть	7	8
7	и их	5	7
8	точки зрения	10	7
9	в его	12	7
10	таким образом	13	6
11	не только	18	6
12	то что	18	6
13	только в	9	6
14	как бы	6	6
15	все же	9	5
16	с точки	8	5
17	хотя бы	2	5
18	то же	2	4
19	в своей	22	4
20	еще и	4	4
21	только и	3	4
22	мы не	2	4
23	мы можем	5	4
24	было бы	4	4
25	но в	9	4
26	отношению к	2	3
27	что в	5	3
28	никогда не	7	3
29	но и	13	3
30	так и	7	3
31	по отношению	2	3
32	и все	9	3
33	в одном	3	3
34	со всей	2	3
35	самом деле	2	3
36	в ее	3	3
37	да и	2	3
38	как и	7	3
39	не в	7	3
40	в которой	5	3
41	и то	5	3
42	в себе	4	3
43	и для	6	3
44	так как	6	3
45	для целей	2	3
46	но для	2	3
47	еще в	5	2
48	не менее	5	2
49	для себя	5	2
50	уже в	2	2
51	с этой	2	2
52	и тем	3	2
53	в нем	6	2
54	ее в	2	2
55	и наиболее	2	2
56	данном случае	2	2
57	а не	5	2
58	в отношении	3	2
59	другой стороны	6	2
60	с другой	6	2
61	не чем	2	2
62	в них	2	2
63	в связи	7	2
64	а в	6	2
65	с одной	3	2
66	все эти	2	2
67	вовсе не	8	2
68	иным как	2	2
69	к тому	2	2
70	и к	4	2
71	как в	2	2
72	в чем	2	2
73	в том	12	2
74	что иное	3	2
75	так же	5	2
76	не мог	4	2
77	том что	17	2
78	с помощью	2	2
79	в данном	2	2
80	что они	3	2
81	в этом	17	2
82	от этого	3	2
83	учение о	3	2
84	тем что	2	2
85	между тем	2	2
86	при этом	4	2
87	смысле слова	3	2
88	всей своей	2	2
89	не что	3	2
90	в другом	3	2
91	тот же	3	2
92	одной стороны	3	2
93	несмотря на	6	2
94	его на	2	2
95	в целях	2	2
96	в области	2	2
97	в самом	5	2
98	вслед за	2	2
99	в ней	3	2
100	чем иным	2	2
101	иное как	3	2
102	и является	2	2
103	а также	3	2
