N	3gram	Tiupa_Narr_1	Vvedenie
1	для того чтобы	3	20
2	о том что	2	12
3	в том что	5	12
4	тем не менее	3	8
5	не может быть	4	8
6	то же время	4	6
7	в самом деле	2	6
8	в то же	4	6
9	до сих пор	2	6
10	в данном случае	8	4
11	не только в	6	4
12	в этом отношении	3	4
13	во всяком случае	2	4
14	по отношению к	3	4
15	можно сказать что	2	3
16	в известном смысле	2	3
17	в центре внимания	2	2
18	той или иной	4	2
19	дело в том	2	2
20	то же самое	2	2
21	в связи с	2	2
22	состоит в том	2	2
23	тем или иным	2	2
24	в соответствии с	4	2
25	подобно тому как	3	2
