N	2gram	Nazirov_Tv_2	EvropaiC
1	таким образом	10	32
2	в том	8	31
3	и в	20	24
4	том что	4	20
5	все эти	4	19
6	не может	7	18
7	то что	3	17
8	может быть	8	15
9	все же	5	15
10	до сих	3	12
11	сих пор	3	12
12	самом деле	2	12
13	в этом	8	12
14	все это	6	11
15	между тем	3	11
16	отношению к	3	10
17	как бы	11	10
18	по отношению	3	10
19	так и	6	10
20	при этом	8	9
21	как и	6	9
22	что в	7	9
23	не в	4	8
24	в самом	3	8
25	так же	5	8
26	если бы	4	8
27	не менее	2	7
28	но и	8	7
29	и не	9	7
30	и что	2	7
31	о том	5	7
32	что он	6	7
33	из этого	2	7
34	с другой	2	6
35	так что	2	6
36	в этой	5	6
37	и на	5	6
38	так как	3	6
39	с ним	3	6
40	еще не	5	6
41	тогда как	3	6
42	в мире	5	6
43	только в	2	6
44	вместе с	3	6
45	именно в	6	5
46	и без	2	5
47	и от	4	5
48	тому же	2	5
49	у него	6	5
50	в пользу	3	5
51	в целом	6	5
52	другой стороны	2	5
53	и с	8	5
54	потому что	7	5
55	его в	3	5
56	но в	4	5
57	к этому	3	5
58	в то	10	5
59	и если	2	5
60	в его	10	5
61	не только	13	5
62	в себе	3	5
63	в которой	2	5
64	никогда не	11	4
65	в конце	6	4
66	в такой	2	4
67	что его	2	4
68	в дальнейшем	4	4
69	одним из	3	4
70	хотя и	4	4
71	из них	2	4
72	в их	3	4
73	не так	2	4
74	том же	2	4
75	он не	3	4
76	то же	7	4
77	а с	3	4
78	и у	2	4
79	в таком	3	4
80	в виде	2	4
81	же как	3	3
82	представление о	7	3
83	как у	3	3
84	в нем	3	3
85	и других	2	3
86	и наконец	2	3
87	и по	2	3
88	а в	4	3
89	это не	7	3
90	в начале	3	3
91	в истории	2	3
92	при помощи	2	3
93	и потому	4	3
94	прежде всего	8	3
95	у нас	2	3
96	как известно	2	3
97	может служить	2	3
98	и вообще	2	3
99	и это	3	3
100	отличие от	2	3
101	же не	2	3
102	в частности	2	2
103	точку зрения	2	2
104	что у	4	2
105	с этой	3	2
106	не стоит	2	2
107	что на	2	2
108	сводится к	2	2
109	для него	3	2
110	такой же	2	2
111	что они	4	2
112	между людьми	2	2
113	же время	7	2
114	и сам	5	2
115	но если	2	2
116	всяком случае	2	2
117	в котором	3	2
118	при виде	2	2
119	что она	4	2
120	с ними	2	2
121	в которых	3	2
122	говорить о	2	2
123	не было	2	2
124	во всяком	2	2
125	то есть	5	2
126	однако это	2	2
127	в основе	2	2
128	отнюдь не	4	2
129	давно уже	2	2
130	если он	5	2
131	вовсе не	2	2
132	со своими	2	2
133	а затем	3	2
134	одна из	3	2
135	но не	5	2
136	него в	2	2
137	в процессе	2	2
138	на него	2	2
139	в ту	2	2
140	чем их	2	2
141	тем самым	4	2
142	из этой	2	2
143	этот вопрос	3	2
144	и ее	2	2
145	и только	2	2
146	и поэтому	2	2
