N	2gram	Bakhtin_Fr_7	Psycholo
1	в том	11	37
2	и в	41	32
3	том что	4	21
4	то что	8	21
5	таким образом	19	21
6	потому что	5	21
7	то есть	20	21
8	что в	9	20
9	так же	5	18
10	может быть	4	18
11	что и	5	17
12	не может	3	17
13	точки зрения	5	17
14	что он	3	13
15	при этом	3	13
16	то же	13	13
17	в этом	15	13
18	не только	5	12
19	так как	3	12
20	было бы	4	11
21	как и	14	10
22	но и	9	10
23	и не	7	10
24	с точки	3	10
25	никогда не	2	9
26	что все	2	9
27	как в	5	9
28	тем что	3	9
29	что это	4	8
30	не в	9	8
31	той же	3	8
32	того что	2	8
33	к тому	2	7
34	и как	2	7
35	такой же	3	7
36	а не	2	7
37	говорит что	2	7
38	в сущности	4	7
39	все эти	13	7
40	можно было	3	7
41	и его	9	7
42	только в	6	7
43	все время	2	6
44	в этой	13	6
45	тот же	2	6
46	он не	4	6
47	как бы	7	6
48	целый ряд	4	6
49	о том	6	6
50	что у	3	5
51	в ней	5	5
52	далеко не	2	5
53	все это	10	5
54	этом отношении	2	5
55	на самом	2	5
56	только на	2	5
57	и на	4	5
58	в то	10	5
59	есть не	2	4
60	в чем	2	4
61	а на	2	4
62	несмотря на	3	4
63	и по	3	4
64	в нем	7	4
65	из них	3	4
66	жизни и	3	4
67	и до	6	4
68	образом и	2	4
69	а в	5	4
70	и все	14	4
71	мы имеем	2	4
72	мы видим	6	4
73	не имеет	3	4
74	и для	5	4
75	и те	3	4
76	в данном	2	4
77	и с	4	4
78	с этим	2	4
79	ту же	2	4
80	и это	5	4
81	ничего не	4	4
82	того как	5	4
83	по своему	2	3
84	но он	4	3
85	в конце	8	3
86	и к	5	3
87	а только	2	3
88	по существу	8	3
89	до конца	2	3
90	в свою	3	3
91	мы в	2	3
92	например в	3	3
93	в своей	3	3
94	конце концов	4	3
95	которое он	2	3
96	с ее	3	3
97	так и	10	3
98	во всех	3	3
99	и их	3	3
100	и так	2	3
101	и ее	2	3
102	в их	3	3
103	в отношении	3	3
104	на этом	5	3
105	имеет дело	2	3
106	еще более	2	3
107	и других	2	3
108	и вот	2	3
109	жизнь и	2	3
110	в которых	2	3
111	и то	2	3
112	та же	4	3
113	но в	8	3
114	мы не	2	3
115	в виду	4	3
116	это было	2	3
117	из самых	3	2
118	место в	4	2
119	с его	2	2
120	же что	2	2
121	в них	7	2
122	все что	4	2
123	это не	6	2
124	и от	8	2
125	точка зрения	2	2
126	из всех	2	2
127	в одном	3	2
128	они в	2	2
129	это в	3	2
130	человеческого тела	7	2
131	во всяком	2	2
132	интерес к	2	2
133	том и	2	2
134	и здесь	4	2
135	ни в	6	2
136	в романе	7	2
137	в новой	7	2
138	же время	9	2
139	свою очередь	3	2
140	еще не	2	2
141	на другой	2	2
142	того же	3	2
143	из которых	2	2
144	вовсе не	7	2
145	к нему	5	2
146	в его	12	2
147	все те	2	2
148	оно не	2	2
149	том как	2	2
150	в руках	3	2
151	в состоянии	2	2
152	как он	2	2
153	начала и	2	2
154	в этих	2	2
155	отношение к	2	2
156	на том	2	2
157	в процессе	2	2
158	вместе с	5	2
159	как нечто	2	2
160	не на	3	2
161	в особенности	2	2
162	не было	3	2
163	после того	4	2
164	роль в	2	2
165	и у	5	2
166	и всегда	2	2
167	у них	2	2
168	но это	3	2
169	также и	2	2
170	их в	2	2
171	он дает	4	2
172	имеем в	2	2
173	в себе	11	2
174	явлений и	2	2
175	в свое	2	2
176	в свете	3	2
177	в которой	2	2
