N	2gram	Vinokur_St_3	RusskieA
1	и в	25	36
2	а а	6	25
3	не только	12	22
4	что в	19	19
5	том что	15	19
6	в том	20	17
7	т е	8	17
8	но и	9	16
9	так как	3	15
10	во время	3	14
11	в этом	24	12
12	это не	7	10
13	как мы	2	10
14	как и	4	10
15	и т	8	10
16	вместе с	2	10
17	и на	6	10
18	потому что	5	10
19	об этом	5	9
20	т д	2	9
21	а в	6	9
22	с тем	4	8
23	состоит в	4	8
24	у нас	4	8
25	может быть	19	8
26	один из	2	8
27	и по	2	8
28	о том	8	8
29	что они	2	7
30	так и	5	7
31	и других	2	7
32	между тем	6	7
33	и не	10	6
34	в них	5	6
35	уже не	3	6
36	таким образом	10	6
37	мы не	2	6
38	все это	8	6
39	не имеет	2	6
40	в виде	3	6
41	то что	12	6
42	показывает что	3	5
43	все же	4	5
44	как бы	6	5
45	в течение	4	5
46	и у	2	5
47	во многих	2	5
48	в которых	2	5
49	одно из	2	5
50	как в	6	5
51	тому что	3	4
52	из этих	6	4
53	к этому	3	4
54	к тому	2	4
55	в г	12	4
56	одна из	2	4
57	еще не	2	4
58	связи с	3	4
59	не совсем	2	4
60	и др	4	4
61	во всех	2	4
62	в некоторых	3	4
63	в их	3	4
64	в россии	6	4
65	не может	7	4
66	в связи	3	4
67	а с	2	4
68	мы имеем	5	4
69	и что	3	4
70	того что	5	4
71	что этот	3	4
72	но это	4	4
73	тем что	19	4
74	г в	6	4
75	только в	6	4
76	в русском	2	4
77	что по	3	4
78	не менее	2	3
79	начиная с	2	3
80	что это	16	3
81	по этому	3	3
82	в этих	11	3
83	в качестве	4	3
84	но все	2	3
85	но они	2	3
86	в свою	2	3
87	от них	2	3
88	и к	4	3
89	тем не	2	3
90	на этом	3	3
91	в это	2	3
92	несмотря на	3	3
93	а также	4	3
94	если в	2	3
95	своего рода	3	3
96	то же	5	3
97	с точки	4	3
98	ничего не	4	3
99	точки зрения	7	3
100	как например	8	3
101	то есть	2	3
102	этого слова	2	3
103	в области	6	3
104	не было	4	2
105	всех этих	3	2
106	и более	3	2
107	независимо от	5	2
108	могут быть	2	2
109	что у	2	2
110	с этим	7	2
111	в каждом	4	2
112	не просто	2	2
113	его к	2	2
114	что именно	2	2
115	у него	9	2
116	в в	3	2
117	в жизни	4	2
118	он был	3	2
119	нас не	2	2
120	такое же	2	2
121	так что	11	2
122	мы видим	4	2
123	такой же	2	2
124	но не	2	2
125	до конца	3	2
126	но есть	2	2
127	например в	4	2
128	к слову	2	2
129	к материалу	2	2
130	сцены из	3	2
131	в ней	4	2
132	на что	2	2
133	в его	12	2
134	года в	2	2
135	как можно	2	2
136	нас к	2	2
137	и с	4	2
138	в целом	4	2
139	его как	3	2
140	для этого	2	2
141	не на	2	2
142	этому поводу	2	2
143	в особенности	4	2
144	между прочим	3	2
145	все эти	3	2
146	в какой	3	2
147	которого в	2	2
148	в году	5	2
149	а не	5	2
150	и пр	13	2
151	и для	4	2
152	или в	2	2
153	в своих	8	2
154	должна была	4	2
155	себя и	2	2
156	к ней	4	2
157	и здесь	3	2
158	но в	5	2
159	в летописях	2	2
