N	2gram	Losev_Dial_4	VerxiiNi
1	и в	15	26
2	таким образом	5	22
3	с тем	4	18
4	вместе с	2	15
5	в этом	11	15
6	точки зрения	14	13
7	как бы	14	12
8	в том	11	11
9	может быть	17	10
10	не только	8	10
11	и с	4	10
12	из этих	2	10
13	что в	7	9
14	но и	4	9
15	в области	3	9
16	так как	14	9
17	главным образом	2	8
18	и не	30	8
19	том что	10	7
20	но все	2	7
21	из них	2	7
22	то что	16	7
23	потому что	10	7
24	но в	3	7
25	представление о	2	6
26	и потому	3	6
27	что и	6	6
28	все же	2	6
29	религиозного сознания	2	6
30	так и	5	6
31	все это	9	6
32	в отношении	2	6
33	все эти	3	6
34	с точки	9	6
35	во всяком	2	6
36	в себе	8	6
37	мы должны	4	6
38	о том	5	6
39	крайней мере	7	5
40	одной из	2	5
41	в его	4	5
42	никогда не	2	5
43	к жизни	3	5
44	так же	4	5
45	лишь в	2	5
46	а не	18	5
47	того чтобы	5	5
48	для того	5	5
49	не имеет	14	5
50	в силу	4	5
51	и для	5	5
52	по крайней	7	5
53	учение о	5	4
54	что все	4	4
55	что он	7	4
56	в нем	5	4
57	в смысле	5	4
58	из которых	3	4
59	в самом	2	4
60	в котором	2	4
61	не может	11	4
62	и только	2	4
63	то же	9	4
64	что оно	7	4
65	в течение	4	4
66	и что	9	4
67	и тогда	2	4
68	и по	2	4
69	в виде	3	4
70	в то	6	4
71	только в	7	4
72	в этой	4	4
73	не менее	2	3
74	что это	13	3
75	если бы	6	3
76	как о	2	3
77	хотя бы	4	3
78	точно так	2	3
79	к этому	3	3
80	ясно что	11	3
81	можно сказать	5	3
82	так что	6	3
83	и как	4	3
84	и при	2	3
85	в своем	5	3
86	в качестве	2	3
87	и нет	3	3
88	случае не	2	3
89	и если	3	3
90	и о	8	3
91	тем не	2	3
92	когда он	3	3
93	оказывается что	4	3
94	при этом	2	3
95	уже не	9	3
96	того что	13	3
97	и даже	6	3
98	в которой	2	3
99	всегда и	3	3
100	или иначе	2	3
101	с этой	2	3
102	в результате	6	3
103	в одном	4	3
104	или иное	3	2
105	не могут	2	2
106	с его	5	2
107	только не	3	2
108	именно в	5	2
109	при таком	2	2
110	в них	2	2
111	сравнению с	2	2
112	только для	3	2
113	не как	4	2
114	тогда когда	5	2
115	на все	2	2
116	прежде всего	11	2
117	не всегда	3	2
118	надо было	3	2
119	в свою	3	2
120	на то	5	2
121	в пользу	2	2
122	то ни	4	2
123	что именно	7	2
124	все что	2	2
125	же время	6	2
126	ни один	2	2
127	что мы	7	2
128	когда же	2	2
129	еще не	4	2
130	и из	2	2
131	общего с	3	2
132	конечно не	2	2
133	для всех	3	2
134	той или	4	2
135	но если	5	2
136	один из	4	2
137	жизни и	4	2
138	то или	3	2
139	во всех	2	2
140	быть и	3	2
141	только что	2	2
142	учение и	2	2
143	для этого	2	2
144	иной раз	3	2
145	в разных	2	2
146	не было	2	2
147	мы имеем	5	2
148	можно только	3	2
149	этой точки	2	2
150	и на	5	2
151	можно назвать	3	2
152	сказать что	6	2
153	не в	8	2
154	мы можем	3	2
155	и наконец	3	2
156	к религии	4	2
157	по сравнению	2	2
158	ничего общего	4	2
159	или по	4	2
160	и все	11	2
161	так чтобы	3	2
162	и это	8	2
163	психической жизни	2	2
164	очень много	2	2
165	в виду	9	2
