N	2gram	Bakhtin_KF_1	Istorich
1	и в	24	25
2	что он	2	22
3	может быть	45	17
4	мы имеем	5	14
5	не только	5	13
6	но и	9	13
7	в его	40	12
8	и не	26	11
9	уже не	7	11
10	все же	5	10
11	в этом	14	10
12	тем что	3	10
13	его в	5	9
14	и его	17	9
15	в виде	2	9
16	с тем	2	8
17	что в	4	8
18	том что	4	8
19	еще не	4	8
20	все эти	10	8
21	и на	3	8
22	в качестве	2	7
23	как и	5	7
24	но это	6	7
25	то что	7	7
26	в нем	28	7
27	потому что	2	7
28	и здесь	7	7
29	только в	16	7
30	о том	3	7
31	это не	10	6
32	прежде всего	2	6
33	что и	7	6
34	себя в	8	6
35	как в	2	6
36	не может	27	6
37	не в	12	6
38	могут быть	3	6
39	в том	6	6
40	там где	5	6
41	что это	3	5
42	ясно что	3	5
43	для нас	4	5
44	но все	5	5
45	здесь мы	4	5
46	но не	12	5
47	в ней	3	5
48	в него	2	5
49	входит в	3	5
50	и действительно	6	5
51	мы не	3	5
52	не менее	3	4
53	если не	2	4
54	не как	4	4
55	и тем	3	4
56	тем не	2	4
57	в ее	16	4
58	из себя	8	4
59	все это	10	4
60	то же	5	4
61	его на	2	4
62	мы здесь	2	4
63	от этого	2	4
64	он не	6	4
65	и это	12	4
66	с ним	5	4
67	никогда не	5	3
68	и как	2	3
69	и все	7	3
70	в целом	10	3
71	ее и	6	3
72	нем и	3	3
73	в свою	3	3
74	ему в	2	3
75	в этой	2	3
76	в то	3	3
77	в себя	7	3
78	того чтобы	2	3
79	и пр	3	3
80	о нем	4	3
81	и она	2	3
82	для того	3	3
83	к нему	12	3
84	а в	4	3
85	его к	2	3
86	в данном	2	3
87	это уже	2	2
88	он может	2	2
89	его и	2	2
90	в некотором	3	2
91	тогда когда	3	2
92	к этому	2	2
93	вовсе не	7	2
94	а как	2	2
95	вопрос о	2	2
96	по себе	2	2
97	меня в	3	2
98	есть на	2	2
99	с этого	2	2
100	в это	2	2
101	но есть	2	2
102	жизни и	8	2
103	и мы	2	2
104	если бы	8	2
105	из которых	2	2
106	от себя	10	2
107	но для	2	2
108	как бы	9	2
109	и потому	2	2
110	один из	2	2
111	должен быть	7	2
112	его изнутри	2	2
113	в своей	10	2
114	отношению к	22	2
115	во всех	11	2
116	со стороны	7	2
117	ним и	3	2
118	совершенно не	6	2
119	по отношению	26	2
120	и для	9	2
121	что за	2	2
122	и других	2	2
123	самом деле	3	2
124	именно на	2	2
125	а не	17	2
126	того что	3	2
127	что этот	3	2
128	точки зрения	12	2
129	во всем	7	2
130	которой он	2	2
131	и этим	3	2
132	не потому	2	2
133	ничего не	3	2
134	или как	2	2
135	из него	3	2
136	это было	2	2
