N	3gram	Vinokur_St_1	Problema
1	с точки зрения	8	11
2	тем не менее	2	10
3	в том что	17	8
4	по крайней мере	2	6
5	с другой стороны	6	6
6	в данном случае	6	5
7	не только в	4	4
8	можно было бы	8	4
9	во всяком случае	6	4
10	о том что	11	3
11	и т д	21	3
12	того или иного	4	3
13	только в том	3	3
14	на самом деле	6	3
15	в то время	2	2
16	не имеет ничего	2	2
17	а также и	2	2
18	имеет ничего общего	2	2
19	в то же	4	2
20	ничего общего с	3	2
21	хотя бы и	2	2
22	и только в	3	2
23	дело не в	2	2
24	в том смысле	2	2
25	заключается в том	3	2
26	для того чтобы	10	2
