N	2gram	Tiupa_Lite_2	Vvedenie
1	и т	2	42
2	и в	19	32
3	в том	10	31
4	в этом	9	30
5	может быть	17	26
6	том что	7	26
7	не только	8	22
8	для того	2	21
9	то что	7	16
10	потому что	2	15
11	так как	3	15
12	не может	9	14
13	в нем	3	13
14	о том	2	13
15	со стороны	3	13
16	того что	5	12
17	в их	3	12
18	и не	11	12
19	как на	3	12
20	представляет собой	2	12
21	в его	4	12
22	в ее	2	11
23	в данном	3	11
24	что в	4	10
25	но в	2	9
26	и как	3	9
27	в истории	2	9
28	то же	12	9
29	не менее	6	8
30	с другой	8	8
31	тем не	2	8
32	не в	4	8
33	прежде всего	4	7
34	точки зрения	4	7
35	но не	5	7
36	было бы	2	7
37	все же	2	7
38	же время	9	6
39	том чтобы	3	6
40	один из	4	6
41	но и	10	6
42	и даже	8	6
43	в то	9	6
44	как он	2	6
45	с тем	2	6
46	вовсе не	2	6
47	как и	10	6
48	в качестве	5	6
49	а именно	3	6
50	хотя бы	2	6
51	и его	3	6
52	тем что	4	6
53	культуры как	2	6
54	уже в	2	5
55	в какой	2	5
56	так что	4	5
57	как бы	2	5
58	в целом	2	5
59	данном случае	3	5
60	другой стороны	4	5
61	одним из	3	5
62	в них	2	5
63	вместе с	5	5
64	т п	2	5
65	а не	20	5
66	что не	2	5
67	могут быть	2	5
68	с этой	2	4
69	в каждом	2	4
70	как уже	2	4
71	этом случае	2	4
72	одной стороны	6	4
73	по отношению	4	4
74	этом отношении	3	4
75	с одной	7	4
76	и что	2	4
77	а в	3	4
78	одно из	2	4
79	даже и	2	4
80	как это	2	4
81	по крайней	2	4
82	что он	3	4
83	еще не	2	4
84	крайней мере	2	4
85	отношению к	3	4
86	как раз	2	4
87	уже не	2	4
88	и для	3	4
89	речь в	2	4
90	той же	2	4
91	и то	3	4
92	в себе	6	4
93	и т.д	7	4
94	в частности	4	3
95	в конце	2	3
96	а потому	2	3
97	в этой	3	3
98	на этом	2	3
99	до конца	2	3
100	при этом	6	3
101	такого рода	9	3
102	в ней	4	3
103	в конечном	5	3
104	не вполне	2	3
105	в виду	2	3
106	из них	2	3
107	и других	4	3
108	свое время	2	3
109	и на	6	3
110	в результате	2	3
111	в начале	3	3
112	однако в	6	3
113	и к	2	3
114	одной из	2	3
115	в одном	2	3
116	в сущности	3	3
117	в свое	2	3
118	а также	2	3
119	что и	2	3
120	своего рода	13	3
121	но с	3	3
122	в области	4	3
123	же как	2	2
124	никогда не	3	2
125	для этого	2	2
126	было сказано	2	2
127	но это	3	2
128	соответствии с	2	2
129	и сам	2	2
130	и др	3	2
131	жизни как	2	2
132	говоря уже	2	2
133	не к	2	2
134	не говоря	2	2
135	не было	2	2
136	в принципе	5	2
137	свое существование	2	2
138	каждый из	4	2
139	не столько	3	2
140	и с	3	2
141	он и	2	2
142	так и	7	2
143	могло бы	2	2
144	состоит в	9	2
145	не с	3	2
146	у нас	5	2
147	по существу	3	2
148	того же	4	2
149	во всех	3	2
150	без остатка	3	2
151	жизни и	4	2
152	себе и	3	2
153	не бывает	2	2
154	и до	2	2
155	но уже	2	2
156	мысли и	2	2
157	тогда как	9	2
158	из того	2	2
159	о которой	2	2
160	из которых	2	2
161	с точки	3	2
162	мы не	4	2
163	тому как	2	2
164	подобно тому	2	2
165	в другом	3	2
166	одна из	5	2
167	в каждой	2	2
168	а если	2	2
169	ничего не	3	2
