N	2gram	Propp_Isto_4	StatiiOP
1	и в	26	25
2	в этом	7	24
3	в том	3	20
4	что в	14	19
5	что он	10	19
6	может быть	14	19
7	тем что	5	19
8	что это	2	16
9	том что	3	15
10	в этой	2	14
11	и пр	11	13
12	в его	5	12
13	то что	16	12
14	не только	15	12
15	в этих	7	11
16	так что	2	11
17	таким образом	10	10
18	и не	9	10
19	у него	5	9
20	но и	12	9
21	и т	27	8
22	все это	2	8
23	в языке	2	8
24	т е	18	8
25	о том	4	8
26	это не	5	7
27	было бы	2	7
28	с этим	2	7
29	не может	6	7
30	из этих	3	6
31	не в	5	6
32	интересно что	4	6
33	только в	3	6
34	как бы	3	6
35	как в	7	6
36	а в	8	6
37	и на	2	6
38	в русской	3	6
39	в области	2	6
40	то же	8	5
41	потому что	6	5
42	с другой	4	5
43	на то	3	5
44	ни в	2	5
45	об этом	7	5
46	говорит что	2	5
47	такого рода	2	5
48	а не	6	5
49	того что	2	5
50	другой стороны	4	5
51	он не	7	5
52	так и	10	5
53	мы имеем	7	5
54	но в	5	5
55	с тем	2	4
56	и др	5	4
57	связана с	2	4
58	а как	2	4
59	у нас	2	4
60	как и	7	4
61	мы видим	6	4
62	но это	3	4
63	что здесь	7	4
64	в качестве	7	4
65	если бы	2	4
66	например в	3	4
67	на его	3	4
68	он говорит	2	4
69	относится к	3	4
70	а также	3	4
71	и тем	2	4
72	в своей	4	4
73	в целом	2	4
74	отношение к	2	4
75	связь с	12	4
76	в особенности	2	4
77	лишь в	2	4
78	из которых	5	4
79	к нему	6	4
80	и с	5	4
81	сказать что	2	4
82	все же	9	4
83	ничего не	5	4
84	на вопрос	3	3
85	уже в	2	3
86	и более	3	3
87	во время	7	3
88	раньше чем	5	3
89	к этому	5	3
90	показывает что	10	3
91	и здесь	5	3
92	его как	2	3
93	с этой	2	3
94	что я	2	3
95	и что	5	3
96	на этом	2	3
97	и если	3	3
98	между прочим	2	3
99	все эти	3	3
100	в некоторых	5	3
101	в связи	2	3
102	что этот	4	3
103	уже не	5	3
104	что мы	3	3
105	и его	10	3
106	связан с	3	3
107	в виде	2	3
108	попадает в	3	3
109	но он	4	3
110	в другом	5	3
111	связи с	3	3
112	так как	9	3
113	при помощи	10	2
114	не менее	2	2
115	должен был	3	2
116	никогда не	2	2
117	он может	2	2
118	и у	5	2
119	что у	3	2
120	и во	2	2
121	в одной	3	2
122	не сразу	3	2
123	вовсе не	4	2
124	его к	3	2
125	от них	2	2
126	как мы	5	2
127	на котором	3	2
128	а по	4	2
129	такое же	4	2
130	но все	5	2
131	что они	6	2
132	есть в	2	2
133	но не	5	2
134	к своей	3	2
135	до сих	5	2
136	только тогда	3	2
137	еще не	6	2
138	одна из	2	2
139	нас к	7	2
140	вступают в	2	2
141	тем не	2	2
142	и за	2	2
143	вместе с	6	2
144	дело не	2	2
145	сих пор	5	2
146	в форме	2	2
147	только что	3	2
148	не на	3	2
149	и только	5	2
150	т д	24	2
151	и других	3	2
152	не просто	4	2
153	от того	2	2
154	не мог	3	2
155	и по	5	2
156	к этим	2	2
157	или в	3	2
158	в которых	4	2
159	можно найти	2	2
160	а у	2	2
161	но есть	2	2
162	могут быть	6	2
163	имеем в	2	2
164	известно что	2	2
165	на это	2	2
166	этого слова	2	2
167	он делает	2	2
168	что эта	3	2
169	не имеет	3	2
170	и тот	2	2
171	к этой	3	2
