N	2gram	Ircho_Kome_2	Hudozhes
1	том что	9	16
2	и в	26	14
3	так и	12	13
4	в том	11	12
5	не только	7	12
6	о том	6	12
7	прежде всего	4	11
8	и т	2	11
9	в этом	10	11
10	в своей	3	10
11	у него	4	9
12	что он	5	9
13	как и	4	9
14	в качестве	5	9
15	то же	3	9
16	как в	3	8
17	то что	6	8
18	же время	3	8
19	отношению к	3	8
20	по отношению	3	8
21	т п	2	8
22	между тем	4	8
23	в этой	3	8
24	в то	6	8
25	в его	4	8
26	это не	2	7
27	к тому	12	7
28	не в	2	7
29	еще не	6	7
30	как бы	2	7
31	не может	3	7
32	а в	3	7
33	художественного мышления	2	6
34	что в	9	6
35	было бы	8	6
36	человека в	3	6
37	в глазах	2	6
38	как правило	3	6
39	не менее	4	5
40	с его	5	5
41	в частности	4	5
42	в этих	4	5
43	интерес к	3	5
44	об этом	2	5
45	может быть	11	5
46	только в	4	5
47	но и	10	5
48	жизни и	3	5
49	друг друга	3	5
50	и его	12	5
51	можно было	4	5
52	потому что	6	5
53	ни в	5	5
54	точки зрения	4	5
55	но в	3	5
56	связи с	3	4
57	тому что	4	4
58	в своем	6	4
59	столь же	9	4
60	и от	4	4
61	и все	2	4
62	в духе	2	4
63	и к	2	4
64	в действительности	2	4
65	в самом	4	4
66	в ней	3	4
67	один из	5	4
68	что она	2	4
69	себя в	3	4
70	из них	7	4
71	не было	3	4
72	он не	2	4
73	как будто	4	4
74	в конце	2	4
75	и это	2	4
76	и с	5	4
77	но не	3	3
78	если бы	9	3
79	отнюдь не	2	3
80	что у	4	3
81	в лице	2	3
82	с этим	5	3
83	же в	4	3
84	идет о	2	3
85	в мире	2	3
86	как мы	4	3
87	в ее	2	3
88	говорить о	2	3
89	на этом	2	3
90	по своему	2	3
91	своего времени	2	3
92	в театре	2	3
93	еще в	4	3
94	речь идет	3	3
95	даже в	2	3
96	в нем	6	3
97	все же	4	3
98	со стороны	2	3
99	в связи	3	3
100	и для	4	3
101	того чтобы	6	3
102	тем что	3	3
103	и на	7	3
104	его в	4	3
105	едва ли	14	3
106	в ответ	2	2
107	если в	2	2
108	так или	3	2
109	однако в	2	2
110	так в	2	2
111	см т	2	2
112	в одной	2	2
113	ясно что	8	2
114	вопрос о	3	2
115	в следующем	2	2
116	что на	3	2
117	мы знаем	3	2
118	да и	3	2
119	так что	5	2
120	жизни так	2	2
121	с той	2	2
122	одна из	2	2
123	и что	2	2
124	в целом	4	2
125	первую очередь	3	2
126	у нее	2	2
127	одной из	4	2
128	например в	3	2
129	в начале	4	2
130	в первую	3	2
131	хотя и	4	2
132	как он	3	2
133	сих пор	2	2
134	в их	3	2
135	все это	3	2
136	также в	2	2
137	с и	4	2
138	и не	14	2
139	только потому	2	2
140	не имеет	3	2
141	в это	2	2
142	той же	3	2
143	или иначе	3	2
144	с ними	2	2
145	в изображении	2	2
146	с этой	3	2
147	действующих лиц	5	2
148	впрочем и	2	2
149	не следует	2	2
150	по адресу	4	2
151	и поэтому	3	2
152	мы не	2	2
153	до сих	2	2
