N	2gram	Tiupa_Lite_2	EvropaiE
1	и в	19	37
2	точки зрения	4	23
3	что в	4	21
4	не только	8	18
5	с точки	3	17
6	в то	9	16
7	хотя бы	2	15
8	то же	12	15
9	в качестве	5	14
10	же время	9	14
11	но и	10	14
12	и не	11	14
13	но в	2	14
14	в этом	9	12
15	в их	3	11
16	в том	10	11
17	в области	4	11
18	так и	7	10
19	отнюдь не	4	9
20	прежде всего	4	9
21	не может	9	9
22	в себе	6	9
23	в ее	2	8
24	одной стороны	6	8
25	было бы	2	8
26	с одной	7	8
27	как и	10	7
28	того что	5	7
29	и выше	2	7
30	а также	2	7
31	с другой	8	7
32	так как	3	7
33	с этой	2	6
34	вовсе не	2	6
35	том что	7	6
36	может быть	17	6
37	для того	2	6
38	как бы	2	6
39	то что	7	6
40	во всех	3	6
41	и даже	8	6
42	и на	6	6
43	то есть	5	6
44	же как	2	5
45	в частности	4	5
46	столь же	5	5
47	не в	4	5
48	но не	5	5
49	одной из	2	5
50	со стороны	3	5
51	тем самым	3	5
52	в россии	2	5
53	ни было	2	4
54	то в	2	4
55	в ней	4	4
56	даже в	4	4
57	для нас	2	4
58	мы не	4	4
59	как это	2	4
60	мира в	2	4
61	и к	2	3
62	в сфере	4	3
63	этом отношении	3	3
64	с тем	2	3
65	никогда не	3	3
66	жизни в	4	3
67	в них	2	3
68	на себя	2	3
69	представляет собой	2	3
70	очевидно что	2	3
71	того же	4	3
72	не более	2	3
73	в культуре	3	3
74	из них	2	3
75	себе не	2	3
76	не является	2	3
77	что и	2	3
78	и только	2	3
79	идет о	3	3
80	и для	3	3
81	как на	3	3
82	в результате	2	3
83	потому что	2	3
84	тем что	4	3
85	в данном	3	3
86	о том	2	3
87	всего лишь	3	3
88	а не	20	2
89	в какой	2	2
90	в одном	2	2
91	одном из	2	2
92	из того	2	2
93	же в	2	2
94	и как	3	2
95	такой же	3	2
96	но как	2	2
97	не говоря	2	2
98	не к	2	2
99	по преимуществу	2	2
100	он не	5	2
101	в его	4	2
102	если в	2	2
103	говоря уже	2	2
104	в мире	9	2
105	жизни и	4	2
106	вместе с	5	2
107	данном случае	3	2
108	наш путь	2	2
109	а в	3	2
110	и других	4	2
111	но с	3	2
112	а именно	3	2
113	и что	2	2
114	ко всему	2	2
115	и наконец	2	2
116	другой стороны	4	2
117	в своих	2	2
118	поскольку речь	2	2
119	и с	3	2
120	могут быть	2	2
121	и еще	2	2
122	в этой	3	2
123	и то	3	2
124	в истории	2	2
125	культуры как	2	2
