N	2gram	Ircho_Kome_2	EvropaiE
1	и в	26	37
2	точки зрения	4	23
3	что в	9	21
4	не только	7	18
5	в то	6	16
6	хотя бы	2	15
7	то же	3	15
8	в своем	6	14
9	в качестве	5	14
10	же время	3	14
11	но и	10	14
12	и не	14	14
13	но в	3	14
14	в этом	10	12
15	в их	3	11
16	в том	11	11
17	с и	4	10
18	так и	12	10
19	отнюдь не	2	9
20	прежде всего	4	9
21	не может	3	9
22	только в	4	9
23	к тому	12	8
24	в ее	2	8
25	одной стороны	2	8
26	было бы	8	8
27	в своей	3	8
28	с одной	2	8
29	между тем	4	8
30	как и	4	7
31	по своему	2	7
32	с другой	2	7
33	так как	4	7
34	с этой	3	6
35	вовсе не	2	6
36	том что	9	6
37	может быть	11	6
38	вслед за	2	6
39	для того	5	6
40	как бы	2	6
41	в последние	4	6
42	то что	6	6
43	во всех	3	6
44	того чтобы	6	6
45	и на	7	6
46	в частности	4	5
47	столь же	9	5
48	не в	2	5
49	но не	3	5
50	одной из	4	5
51	но если	3	5
52	со стороны	2	5
53	как мы	4	5
54	в той	2	5
55	в течение	2	5
56	от этого	2	5
57	ни было	2	4
58	независимо от	5	4
59	то ни	2	4
60	вопрос о	3	4
61	чем в	2	4
62	бы то	2	4
63	в самом	4	4
64	из числа	3	4
65	в ней	3	4
66	даже в	2	4
67	для нас	3	4
68	мы не	2	4
69	не имеет	3	4
70	как это	4	4
71	мира в	4	4
72	место в	4	3
73	и к	2	3
74	с тем	5	3
75	в них	4	3
76	и от	4	3
77	на себя	7	3
78	с другом	2	3
79	этом смысле	2	3
80	мы можем	3	3
81	того же	3	3
82	не более	2	3
83	друг с	2	3
84	из них	7	3
85	всяком случае	2	3
86	не является	2	3
87	что и	7	3
88	бы и	2	3
89	как в	3	3
90	идет о	2	3
91	и для	4	3
92	можно было	4	3
93	потому что	6	3
94	во всяком	2	3
95	тем что	3	3
96	о том	6	3
97	в этих	4	2
98	еще более	2	2
99	в какой	2	2
100	и во	2	2
101	с этим	5	2
102	и все	2	2
103	в одном	2	2
104	к нему	3	2
105	представление о	2	2
106	чем на	2	2
107	что на	3	2
108	же в	4	2
109	в силу	2	2
110	что это	4	2
111	не говоря	2	2
112	и если	2	2
113	он не	2	2
114	в его	4	2
115	более поздние	2	2
116	в котором	3	2
117	если в	2	2
118	говоря уже	2	2
119	в развитии	2	2
120	в мире	2	2
121	жизни и	3	2
122	как не	2	2
123	наряду с	6	2
124	вместе с	9	2
125	всего в	2	2
126	на основании	5	2
127	целый ряд	2	2
128	а в	3	2
129	таким образом	6	2
130	если бы	9	2
131	частности в	2	2
132	и что	2	2
133	более чем	4	2
134	на этот	4	2
135	в других	2	2
136	войны и	3	2
137	или в	3	2
138	меньше чем	2	2
139	в другой	2	2
140	и с	5	2
141	хотя и	4	2
142	и еще	2	2
143	в этой	3	2
144	в истории	5	2
145	как будто	4	2
146	и поэтому	3	2
147	бы в	2	2
148	также в	2	2
149	имеет в	2	2
