N	2gram	Medvedev_F_2	Dialekti
1	не есть	3	54
2	т е	26	48
3	и не	20	27
4	а не	6	26
5	точки зрения	8	25
6	и в	38	24
7	и т	14	24
8	не только	9	23
9	т д	5	23
10	по себе	7	20
11	не может	14	19
12	не просто	2	18
13	ничего не	4	17
14	в таком	2	14
15	то что	6	14
16	с точки	7	14
17	может быть	23	13
18	таким образом	20	13
19	и даже	4	13
20	что он	5	13
21	вовсе не	11	13
22	что это	3	12
23	того что	3	12
24	есть только	2	12
25	не имеет	2	11
26	что же	5	11
27	отнюдь не	8	10
28	в сущности	4	10
29	ни в	2	9
30	то это	3	9
31	но и	13	9
32	прежде всего	15	8
33	и как	3	8
34	том что	2	8
35	в этом	27	8
36	если же	2	8
37	что в	7	7
38	никогда не	2	7
39	в самом	16	7
40	в особенности	4	7
41	что оно	4	7
42	потому что	2	7
43	даже и	4	7
44	в виду	2	7
45	это и	5	7
46	как и	9	7
47	только на	3	7
48	как раз	6	7
49	ничем не	2	7
50	должна быть	5	6
51	кроме того	2	6
52	все это	3	6
53	и только	5	6
54	и с	9	6
55	так как	4	6
56	если бы	5	6
57	превращается в	2	6
58	и все	3	6
59	оно не	4	6
60	что и	8	6
61	даже не	2	6
62	то же	6	6
63	самом деле	8	6
64	и пр	21	6
65	в том	11	5
66	но это	2	5
67	хотя и	3	5
68	жизни и	3	5
69	и его	21	5
70	что для	2	5
71	в то	5	5
72	как это	2	5
73	и к	4	5
74	было бы	6	5
75	он не	6	5
76	так и	8	5
77	уже не	7	5
78	что не	4	5
79	мы не	3	5
80	от всякого	2	5
81	сам по	3	5
82	только в	6	5
83	тому что	2	4
84	с другой	3	4
85	это не	2	4
86	первый план	2	4
87	не могут	7	4
88	к тому	4	4
89	все остальное	4	4
90	явления и	2	4
91	как о	4	4
92	хотя бы	6	4
93	сказать что	2	4
94	на первый	2	4
95	говорить о	5	4
96	в истории	6	4
97	в чем	2	4
98	и то	2	4
99	и это	2	4
100	для него	7	4
101	перед нами	2	3
102	не было	6	3
103	все же	8	3
104	все время	6	3
105	в одной	2	3
106	и от	2	3
107	была бы	3	3
108	что именно	2	3
109	можно и	3	3
110	мы знаем	3	3
111	его как	2	3
112	не в	15	3
113	она не	2	3
114	же время	5	3
115	в основе	5	3
116	в нем	13	3
117	это было	3	3
118	из них	4	3
119	то и	3	3
120	как таковая	2	3
121	все эти	6	3
122	того или	4	3
123	должно быть	2	3
124	и на	3	3
125	с этим	5	3
126	именно как	4	3
127	он и	3	3
128	ни на	2	3
129	при помощи	2	3
130	тем что	8	3
131	зависимости от	3	3
132	ни о	5	3
133	как таковое	4	3
134	и о	2	3
135	сами по	2	3
136	не будет	2	3
137	как бы	4	3
138	быть и	3	3
139	и прежде	3	3
140	или же	2	3
141	тем самым	2	3
142	для того	3	3
143	раз и	4	3
144	к нему	3	3
145	в слове	5	3
146	и ее	6	3
147	и этим	2	3
148	же как	3	2
149	из этих	3	2
150	как таковой	3	2
151	лишь как	4	2
152	на этом	2	2
153	при этом	9	2
154	например в	3	2
155	не о	4	2
156	всяком случае	5	2
157	но совершенно	2	2
158	совершенно не	4	2
159	и тем	2	2
160	а именно	2	2
161	другой стороны	4	2
162	для этого	2	2
163	как например	2	2
164	мы говорим	4	2
165	именно в	5	2
166	только и	3	2
167	они не	4	2
168	и по	2	2
169	его не	2	2
170	а в	6	2
171	же и	2	2
172	их в	2	2
173	в ней	6	2
174	и здесь	3	2
175	от его	2	2
176	в первом	7	2
177	бы в	5	2
178	говорить не	2	2
179	слово в	2	2
180	но в	4	2
181	с его	11	2
182	в зависимости	3	2
183	на котором	2	2
184	в их	6	2
185	в понятии	2	2
186	или иного	5	2
187	но как	2	2
188	по существу	7	2
189	то в	2	2
190	но не	2	2
191	однако не	3	2
192	со стороны	2	2
193	ее в	2	2
194	всего этого	5	2
195	так в	3	2
196	как мы	7	2
197	и для	5	2
198	и нужно	2	2
199	или в	3	2
200	ибо они	2	2
201	во всяком	5	2
202	могут быть	6	2
203	из этого	2	2
204	в его	10	2
