N	2gram	Savitsky_E_1	Vladivir
1	и в	37	30
2	то что	6	20
3	в этом	12	20
4	в том	11	18
5	и не	14	18
6	и с	2	14
7	том что	6	12
8	что в	21	12
9	не только	18	12
10	в его	2	11
11	а в	2	11
12	как мы	5	11
13	сказать что	4	11
14	а также	7	10
15	и даже	6	10
16	не в	5	9
17	было бы	8	9
18	потому что	3	9
19	не может	9	9
20	в то	16	9
21	в своем	14	8
22	вместе с	2	8
23	но и	14	8
24	что же	2	8
25	но в	14	8
26	никогда не	3	7
27	точки зрения	23	7
28	и все	2	7
29	может быть	6	7
30	между прочим	7	7
31	для нас	4	7
32	а не	2	7
33	как это	4	7
34	то есть	6	7
35	хотя и	2	6
36	прежде всего	9	6
37	и к	3	6
38	только в	9	6
39	всяком случае	3	6
40	во всяком	3	6
41	в себе	9	6
42	жизни и	2	6
43	а именно	2	6
44	также и	7	6
45	и то	2	5
46	по себе	4	5
47	как и	7	5
48	то в	4	5
49	того же	3	5
50	в своей	8	5
51	как бы	6	5
52	в котором	2	5
53	так и	10	5
54	с этим	2	5
55	в течение	5	5
56	россия и	2	5
57	и что	2	5
58	того что	7	5
59	в результате	3	5
60	так как	7	5
61	именно в	4	4
62	с этой	6	4
63	эти последние	2	4
64	вовсе не	6	4
65	можно сказать	4	4
66	в этой	2	4
67	и если	2	4
68	что это	2	4
69	несмотря на	4	4
70	и мы	3	4
71	в ней	4	4
72	он не	2	4
73	не есть	2	4
74	с а	2	4
75	в этих	2	4
76	время в	3	4
77	со стороны	5	4
78	то же	15	4
79	ко всему	2	4
80	и наконец	2	4
81	на этот	2	4
82	так же	9	4
83	и на	6	4
84	с в	2	4
85	мы должны	2	4
86	о том	3	4
87	именно к	2	3
88	в них	3	3
89	в отношении	32	3
90	хотя бы	15	3
91	же время	14	3
92	в свою	3	3
93	что и	3	3
94	и как	2	3
95	тем более	4	3
96	но не	5	3
97	в данном	3	3
98	и для	3	3
99	еще более	2	3
100	с точки	17	3
101	только одно	2	3
102	во всех	6	3
103	нам кажется	7	3
104	как в	3	3
105	таким образом	2	3
106	последние годы	3	3
107	в таком	3	3
108	в виде	5	3
109	к ней	4	3
110	не говоря	2	3
111	его на	2	3
112	дело в	3	3
113	в россии	5	3
114	в области	11	3
115	к нему	2	2
116	он сам	2	2
117	с тем	3	2
118	уже и	3	2
119	но по	2	2
120	жизни в	3	2
121	и от	3	2
122	себе в	3	2
123	тогда когда	2	2
124	к той	2	2
125	мы видели	3	2
126	к тому	8	2
127	в общем	3	2
128	и можно	2	2
129	же в	2	2
130	свою очередь	2	2
131	по своему	7	2
132	само по	4	2
133	она не	2	2
134	во второй	3	2
135	кажется что	2	2
136	в самом	4	2
137	в будущем	3	2
138	в частности	5	2
139	на то	6	2
140	и потому	5	2
141	для того	6	2
142	даже в	4	2
143	говоря уже	2	2
144	не имеет	4	2
145	наряду с	2	2
146	данном случае	2	2
147	в последние	6	2
148	в их	11	2
149	не на	4	2
150	начиная с	2	2
151	россии и	3	2
152	и притом	4	2
153	в той	5	2
154	заключается в	2	2
155	того чтобы	6	2
156	и по	5	2
157	и прежде	3	2
158	во многих	4	2
159	и ту	2	2
160	которое в	2	2
161	можно было	3	2
162	прочим и	2	2
163	в своих	2	2
164	второй половине	2	2
165	это значит	2	2
166	и во	2	2
167	с и	10	2
168	как будто	2	2
169	или по	2	2
170	что если	2	2
171	что эти	2	2
172	мы не	4	2
