N	2gram	Berdyaev_N_1	Hudozhes
1	том что	2	16
2	и в	16	14
3	так и	2	13
4	а не	17	12
5	в том	8	12
6	не только	5	12
7	о том	4	12
8	прежде всего	4	11
9	в этом	7	11
10	в себе	2	11
11	в своей	3	10
12	у него	2	9
13	как и	7	9
14	как в	3	8
15	то что	4	8
16	в то	2	8
17	быть может	4	7
18	это не	4	7
19	к тому	3	7
20	уже не	2	7
21	не в	6	7
22	еще не	3	7
23	не может	16	7
24	а в	2	7
25	никогда не	6	6
26	что в	9	6
27	жизни в	3	6
28	не менее	4	5
29	с его	6	5
30	к жизни	3	5
31	может быть	7	5
32	но и	3	5
33	жизни и	8	5
34	можно было	2	5
35	потому что	4	5
36	ни в	6	5
37	но в	2	5
38	и от	2	4
39	и все	4	4
40	в духе	3	4
41	и к	5	4
42	она не	3	4
43	в ней	5	4
44	что она	2	4
45	себя в	2	4
46	в центре	2	4
47	не было	4	4
48	он не	8	4
49	как будто	2	4
50	и это	2	4
51	и с	2	4
52	но не	2	3
53	с этим	2	3
54	в мире	3	3
55	в ее	3	3
56	по своему	4	3
57	такого рода	2	3
58	не имеют	2	3
59	возвращается к	2	3
60	в нем	5	3
61	и для	4	3
62	все эти	2	3
63	лишь в	6	3
64	того чтобы	2	3
65	и даже	2	3
66	такой же	2	3
67	и на	2	3
68	ни к	2	2
69	не означает	3	2
70	и потому	4	2
71	вопрос о	3	2
72	же как	2	2
73	одна из	2	2
74	и что	2	2
75	хотя и	2	2
76	каждого человека	2	2
77	все это	5	2
78	не знает	6	2
79	и не	11	2
80	не имеет	4	2
81	жизни как	2	2
82	должно быть	4	2
83	с ее	5	2
84	мы не	2	2
