N	2gram	Berdyaev_V_1	Stilisti
1	и в	16	42
2	как бы	5	27
3	не только	2	27
4	прежде всего	2	22
5	хотя бы	3	17
6	но и	5	15
7	и не	20	14
8	как и	4	11
9	что мы	4	10
10	в этом	4	10
11	то что	9	9
12	мы не	2	9
13	в ней	4	8
14	с тем	2	8
15	и это	2	8
16	никогда не	3	7
17	потому что	4	7
18	так как	9	7
19	с его	3	7
20	а не	7	7
21	того чтобы	2	7
22	только в	2	7
23	не в	3	6
24	в форме	2	6
25	в конце	3	6
26	в нем	4	6
27	во всех	3	6
28	так и	4	6
29	тому что	3	5
30	а в	2	5
31	в его	4	5
32	к тому	3	4
33	один из	2	4
34	все это	5	4
35	того что	5	4
36	но в	3	4
37	всего в	2	4
38	а с	2	4
39	уже не	2	4
40	можно было	2	4
41	и то	2	4
42	до того	2	3
43	его и	2	3
44	это не	2	3
45	для нас	2	3
46	хотя и	5	3
47	в котором	4	3
48	не к	2	3
49	жизни и	3	3
50	лишь в	3	3
51	не так	2	3
52	их в	3	3
53	что было	2	3
54	и все	4	3
55	том что	2	3
56	еще не	8	3
57	конечно не	2	3
58	нет и	2	3
59	что и	3	3
60	не будет	2	3
61	да и	2	3
62	если не	3	3
63	и для	3	3
64	бы и	3	2
65	человека и	6	2
66	в мире	5	2
67	в том	3	2
68	но это	3	2
69	для него	2	2
70	и сам	2	2
71	но мы	2	2
72	не с	2	2
73	в этих	3	2
74	не было	3	2
75	все эти	3	2
76	должно быть	3	2
77	его не	2	2
78	нет ничего	3	2
79	в жизни	3	2
80	для них	2	2
81	что он	4	2
82	а к	2	2
83	но не	2	2
84	тот же	3	2
85	и потому	7	2
86	не есть	6	2
87	как не	3	2
88	в своей	3	2
89	к чему	3	2
90	с ним	2	2
91	тем что	2	2
