N	3gram	Propp_Isto_1	Vvedenie
1	и т д	22	36
2	о том что	3	12
3	в том что	4	12
4	тем не менее	6	8
5	не может быть	7	8
6	до сих пор	5	6
7	с другой стороны	5	5
8	на этот вопрос	2	4
9	с одной стороны	4	4
10	можно было бы	3	4
11	само по себе	2	4
12	по отношению к	3	4
13	в конечном итоге	2	3
14	и тем не	2	3
15	большей или меньшей	2	3
16	вместе с тем	2	3
17	вопрос о том	2	3
18	но все же	3	3
19	как будто бы	2	2
20	по этому поводу	2	2
21	дело в том	3	2
22	точно так же	3	2
23	т д все	3	2
24	то же самое	3	2
25	в этих случаях	2	2
26	в связи с	3	2
