N	2gram	Vygotskiy__5	formyVre
1	и в	16	50
2	в этом	25	25
3	в нем	7	24
4	и его	3	16
5	прежде всего	3	15
6	и не	12	14
7	как мы	10	14
8	вовсе не	2	13
9	в его	11	13
10	по существу	3	12
11	так и	7	12
12	может быть	9	11
13	таким образом	19	11
14	то же	8	11
15	и как	3	10
16	но в	6	10
17	в том	18	9
18	все эти	4	9
19	в то	5	9
20	не только	16	9
21	ничего не	5	9
22	в самом	4	8
23	и их	4	8
24	но и	6	8
25	и на	6	8
26	как и	8	8
27	того же	7	8
28	жизни и	2	8
29	все же	3	6
30	в частности	3	6
31	это не	4	6
32	в их	3	6
33	не может	18	6
34	так же	15	6
35	в результате	4	6
36	так как	16	6
37	у него	6	6
38	с этим	3	6
39	в жизни	2	6
40	и того	3	6
41	связи с	3	6
42	во всех	2	6
43	то что	26	6
44	как в	5	6
45	между двумя	3	6
46	что в	16	5
47	и другие	2	5
48	одного и	3	5
49	не в	6	5
50	в пределах	4	5
51	значение в	3	5
52	время как	4	5
53	в основе	8	5
54	точки зрения	18	5
55	но все	2	5
56	если бы	8	5
57	но не	10	5
58	еще не	4	5
59	он не	8	5
60	отношению к	12	5
61	того чтобы	17	5
62	для того	14	5
63	могут быть	4	5
64	в своем	5	4
65	мы и	5	4
66	до конца	3	4
67	и следовательно	6	4
68	в котором	2	4
69	все это	2	4
70	не имеет	4	4
71	потому что	21	4
72	и с	3	4
73	в ней	2	4
74	между собой	13	4
75	в них	2	4
76	то время	4	4
77	в процессе	13	4
78	в той	6	4
79	том что	15	4
80	и то	4	4
81	только в	10	4
82	не могут	4	3
83	себя и	2	3
84	в этих	3	3
85	в отношении	9	3
86	к тому	6	3
87	с тем	3	3
88	при этом	4	3
89	не имеют	2	3
90	имеет место	2	3
91	в виду	2	3
92	со всеми	2	3
93	по отношению	12	3
94	отношения к	2	3
95	этом отношении	5	3
96	с одной	3	3
97	именно в	4	3
98	они не	3	3
99	а в	3	3
100	вообще не	4	3
101	их в	2	3
102	сказать что	13	3
103	его в	2	3
104	в одном	3	3
105	но они	2	3
106	не знает	5	3
107	к этому	3	3
108	что было	2	3
109	есть не	2	3
110	же в	2	3
111	в качестве	4	3
112	одной из	3	3
113	в сущности	13	3
114	мы говорили	2	3
115	и потому	2	3
116	только к	2	3
117	что и	3	3
118	вместе с	4	3
119	сих пор	3	3
120	только на	2	3
121	еще более	5	3
122	а не	10	3
123	мы не	3	3
124	мы видим	4	3
125	во всяком	2	3
126	совершенно иной	2	3
127	этими двумя	2	3
128	до сих	3	3
129	самого начала	5	2
130	мы будем	2	2
131	же как	7	2
132	никогда не	5	2
133	друг другу	2	2
134	его и	3	2
135	с другой	4	2
136	никто не	2	2
137	что все	6	2
138	вопрос о	12	2
139	а только	4	2
140	тому же	2	2
141	происходит в	2	2
142	с самого	5	2
143	с их	4	2
144	в свою	4	2
145	для него	5	2
146	одной стороны	3	2
147	к жизни	3	2
148	в целом	4	2
149	отношение к	11	2
150	уже на	2	2
151	только два	2	2
152	еще и	3	2
153	те же	2	2
154	с помощью	10	2
155	на основе	2	2
156	того что	16	2
157	и даже	2	2
158	и по	4	2
159	к ним	2	2
160	или не	2	2
161	в более	2	2
162	их и	2	2
163	но он	7	2
164	и является	3	2
165	во всем	2	2
166	в истории	2	2
167	что мы	4	2
168	мы должны	8	2
169	как он	6	2
170	с ним	5	2
171	из нее	5	2
172	не является	5	2
173	сравнению с	5	2
174	он должен	5	2
175	тогда когда	5	2
176	по себе	7	2
177	стороны и	2	2
178	в различных	2	2
179	и к	2	2
180	на развитие	2	2
181	в чем	3	2
182	чем в	3	2
183	и может	3	2
184	было бы	10	2
185	в этот	2	2
186	принадлежит к	2	2
187	по сравнению	5	2
188	в своей	2	2
189	как бы	5	2
190	ее в	3	2
191	совершенно не	2	2
192	в центре	2	2
193	в отличие	2	2
194	если мы	7	2
195	с точки	9	2
196	речи в	6	2
197	хотя бы	5	2
198	в которой	5	2
199	той же	4	2
200	как она	3	2
201	тем что	5	2
202	ту же	2	2
203	его на	2	2
204	отличие от	2	2
205	с необходимостью	5	2
