N	2gram	Savitsky_E_1	Poddanst
1	не только	18	17
2	и в	37	14
3	и не	14	12
4	в области	11	11
5	в отношении	32	10
6	в этом	12	10
7	старого света	14	9
8	то же	15	9
9	в том	11	9
10	в качестве	14	9
11	но в	14	9
12	хотя бы	15	8
13	в пределах	25	8
14	же время	14	7
15	в то	16	7
16	только в	9	7
17	но и	14	6
18	в ней	4	6
19	в смысле	9	6
20	было бы	8	6
21	с другой	7	5
22	россии в	4	5
23	не в	5	5
24	в которых	3	5
25	отношении к	15	5
26	может быть	6	5
27	же в	2	4
28	в котором	2	4
29	то что	6	4
30	что в	21	4
31	если бы	2	4
32	в своем	14	4
33	с т	2	4
34	не может	9	4
35	но также	2	4
36	европейской культуры	3	4
37	россии и	3	4
38	по себе	4	4
39	и к	3	4
40	русская революция	2	4
41	а в	2	4
42	том что	6	4
43	на путях	4	4
44	мы должны	2	4
45	и если	2	4
46	в гораздо	2	4
47	а также	7	4
48	как бы	6	4
49	и потому	5	4
50	в порядке	2	3
51	с тем	3	3
52	в россии	5	3
53	столь же	5	3
54	с одной	8	3
55	т е	9	3
56	прежде всего	9	3
57	россии как	3	3
58	заключается в	2	3
59	тем самым	5	3
60	для того	6	3
61	с точки	17	3
62	мы не	4	3
63	и как	2	3
64	между тем	8	3
65	но не	5	3
66	могут быть	2	3
67	точки зрения	23	3
68	в себе	9	3
69	россия в	11	3
70	одной стороны	8	3
71	северной америке	3	3
72	наряду с	2	3
73	вслед за	6	3
74	потому что	3	3
75	хотя и	2	3
76	в сфере	3	2
77	и тем	3	2
78	в мире	2	2
79	не к	2	2
80	для них	2	2
81	именно в	4	2
82	во всех	6	2
83	в частности	5	2
84	время в	3	2
85	отнюдь не	9	2
86	в северной	2	2
87	тем более	4	2
88	со стороны	5	2
89	заключает в	3	2
90	в них	3	2
91	в последние	6	2
92	во всей	2	2
93	н с	11	2
94	с этим	2	2
95	между прочим	7	2
96	главным образом	2	2
97	еще более	2	2
98	думать что	8	2
99	и других	2	2
100	которую мы	5	2
101	стороны и	6	2
102	в значительной	2	2
103	а не	2	2
104	бы ни	3	2
105	того что	7	2
106	для нас	4	2
107	в ее	8	2
108	как на	3	2
109	если в	2	2
110	есть не	2	2
111	есть в	2	2
112	которое в	2	2
113	в силу	2	2
114	исключительно в	2	2
115	в виде	5	2
116	по сравнению	2	2
117	не нужно	2	2
118	в перспективе	4	2
119	хозяйства и	2	2
120	весьма вероятно	4	2
121	из них	3	2
122	более чем	2	2
123	в общем	3	2
124	и мы	3	2
125	сказывается в	2	2
126	российского мира	3	2
127	в полной	4	2
128	культуры в	4	2
129	другие народы	2	2
130	в эту	2	2
131	в его	2	2
132	и с	2	2
133	помнить что	2	2
