N	3gram	Losev_Prob_1	Myslijsy
1	в том что	5	16
2	по крайней мере	2	5
3	сам по себе	7	5
4	в то же	4	5
5	не есть ни	5	4
6	с другой стороны	3	4
7	тем не менее	18	3
8	до сих пор	3	3
9	более или менее	3	3
10	и т д	10	3
11	не может быть	2	3
12	для того чтобы	8	3
13	можно сказать что	3	2
14	в себе не	3	2
15	только потому что	2	2
16	именно то что	3	2
17	и в самом	2	2
18	то что мы	6	2
19	в таком случае	6	2
20	было бы мало	2	2
21	сама по себе	4	2
22	в сознании и	2	2
23	не только не	3	2
24	подобно тому как	2	2
25	в буквальном смысле	3	2
26	потому что оно	2	2
