N	2gram	Bakhtin_fo_2	Literetu
1	и не	9	22
2	и в	46	16
3	в мире	4	16
4	при этом	6	15
5	не только	11	14
6	но и	9	14
7	в этом	22	14
8	а не	4	12
9	то что	7	12
10	может быть	7	12
11	в том	10	12
12	в частности	5	11
13	не в	9	10
14	то же	8	9
15	так и	7	9
16	того что	3	9
17	в то	5	9
18	том что	4	8
19	не может	2	8
20	к себе	4	8
21	в этой	2	8
22	как бы	10	8
23	же время	4	7
24	точки зрения	10	7
25	только в	11	7
26	с другой	2	6
27	к тому	3	6
28	еще не	6	6
29	в его	8	6
30	и т.п	2	6
31	и его	12	6
32	в себе	4	6
33	в другом	3	6
34	о том	4	6
35	в качестве	3	5
36	это не	2	5
37	что он	3	5
38	как и	8	5
39	лишь в	2	5
40	вместе с	9	5
41	как в	4	5
42	а в	3	5
43	этом отношении	2	5
44	именно в	2	5
45	в основе	6	5
46	то есть	10	5
47	в поэзии	2	5
48	место в	4	4
49	но не	5	4
50	никогда не	6	4
51	по существу	5	4
52	как у	3	4
53	до конца	2	4
54	и для	9	4
55	хотя и	3	4
56	из них	8	4
57	жизни в	4	4
58	с одной	2	4
59	а также	3	4
60	должно быть	5	4
61	в данном	2	4
62	в одном	7	4
63	том числе	3	3
64	только для	2	3
65	отнюдь не	4	3
66	прежде всего	14	3
67	а затем	3	3
68	в романе	13	3
69	и как	3	3
70	то в	2	3
71	о чем	3	3
72	мира в	3	3
73	и к	2	3
74	наконец в	2	3
75	жизни и	8	3
76	себе самому	3	3
77	уже не	3	3
78	и наконец	6	3
79	с точки	8	3
80	как на	2	3
81	потому что	8	3
82	там где	2	3
83	как это	2	3
84	отношения к	4	3
85	мыслится как	2	3
86	но в	10	3
87	что в	5	2
88	все они	3	2
89	под знаком	3	2
90	с этой	4	2
91	в конце	2	2
92	к этому	3	2
93	со своими	2	2
94	за свой	2	2
95	по себе	2	2
96	природа и	2	2
97	или иной	2	2
98	в нем	5	2
99	же в	4	2
100	у нас	2	2
101	связи с	8	2
102	а на	2	2
103	числе и	2	2
104	того же	3	2
105	для него	3	2
106	можно сказать	2	2
107	особое место	2	2
108	было бы	2	2
109	со всеми	2	2
110	жизни а	2	2
111	во всех	11	2
112	здесь это	2	2
113	вплоть до	2	2
114	себя и	3	2
115	один из	2	2
116	что и	3	2
117	все же	6	2
118	отношение к	3	2
119	как мы	6	2
120	так же	2	2
121	по аналогии	2	2
122	и только	2	2
123	в совершенно	3	2
124	если не	2	2
125	человека в	6	2
126	и вот	2	2
127	того чтобы	8	2
128	для того	8	2
129	и даже	3	2
130	жизни как	2	2
131	своей жизни	2	2
132	и на	7	2
133	и с	6	2
134	автора и	2	2
135	тем что	3	2
136	далеко не	2	2
137	не знает	2	2
138	же самое	3	2
139	его в	6	2
140	и потому	2	2
141	здесь не	2	2
142	мира и	9	2
143	ее в	3	2
144	жизнь как	2	2
145	одном из	2	2
