N	2gram	Propp_Isto_2	Myshleni
1	в том	6	42
2	том что	7	35
3	таким образом	7	25
4	в этом	11	24
5	в качестве	3	21
6	и в	15	20
7	что в	12	19
8	то же	10	16
9	то что	12	15
10	не только	18	15
11	что они	10	14
12	с другой	2	12
13	при этом	4	12
14	в их	3	12
15	потому что	9	12
16	может быть	17	12
17	так же	13	11
18	в его	6	11
19	мы должны	4	11
20	того что	3	10
21	так как	14	10
22	мы видим	8	10
23	и то	2	10
24	в себе	4	10
25	только в	6	10
26	слова в	2	9
27	и другие	4	9
28	мы могли	2	9
29	одной стороны	3	9
30	но и	14	9
31	другой стороны	2	9
32	с одной	4	9
33	ребенка и	2	9
34	как это	3	9
35	как и	2	9
36	что и	6	9
37	и не	11	8
38	и что	6	8
39	было бы	5	8
40	вместе с	7	8
41	и более	2	7
42	как бы	6	7
43	смысле этого	2	7
44	что мы	3	7
45	самом деле	2	7
46	тем самым	2	7
47	а не	5	7
48	того чтобы	2	7
49	тем что	4	7
50	могут быть	2	7
51	уже в	2	6
52	к тому	5	6
53	тому же	2	6
54	же как	5	6
55	мы видели	2	6
56	не может	5	6
57	и на	4	6
58	сказать что	2	6
59	его в	10	6
60	с тем	9	6
61	что он	24	6
62	в силу	2	6
63	той же	2	6
64	можно было	5	6
65	перед нами	2	5
66	никогда не	15	5
67	это не	2	5
68	раньше чем	3	5
69	на то	3	5
70	увидим что	3	5
71	и его	3	5
72	с этим	5	5
73	все же	9	5
74	о том	3	5
75	мы уже	6	5
76	так и	5	5
77	как в	5	5
78	все эти	4	5
79	мы можем	8	5
80	для нас	4	4
81	является не	2	4
82	обратимся к	2	4
83	по мере	3	4
84	ребенка в	3	4
85	из них	2	4
86	на один	2	4
87	и только	2	4
88	роль в	3	4
89	как он	3	4
90	и с	4	4
91	состоит в	2	4
92	в сущности	2	4
93	ключ к	2	4
94	не в	7	4
95	и для	2	4
96	в этих	11	3
97	точно так	6	3
98	так что	6	3
99	в этой	4	3
100	одной из	4	3
101	в виду	2	3
102	один из	8	3
103	в связи	5	3
104	именно в	2	3
105	и когда	2	3
106	на его	2	3
107	к которому	5	3
108	но в	6	3
109	этом случае	5	3
110	по существу	2	3
111	представляет собой	5	3
112	но не	2	3
113	наряду с	6	3
114	когда он	3	3
115	приводит к	2	3
116	говорит что	3	3
117	ни в	2	3
118	связи с	8	3
119	что эта	2	3
120	в которой	2	3
121	связана с	6	2
122	такой же	2	2
123	в другой	4	2
124	прежде всего	5	2
125	очень часто	4	2
126	совершается в	2	2
127	он видит	2	2
128	в нашей	2	2
129	что это	6	2
130	не совсем	3	2
131	в ней	4	2
132	в него	2	2
133	в нем	7	2
134	к нему	5	2
135	другими словами	4	2
136	привести к	3	2
137	очень рано	2	2
138	он имеет	2	2
139	не просто	2	2
140	здесь мы	3	2
141	они не	4	2
142	не соответствует	2	2
143	а в	12	2
144	не знает	2	2
145	из этих	3	2
146	и здесь	9	2
147	что здесь	4	2
148	что эти	4	2
149	их в	2	2
150	когда мы	2	2
151	мы имеем	15	2
152	но они	4	2
153	нисколько не	2	2
154	видели что	3	2
155	у него	4	2
156	а потом	4	2
157	видим что	5	2
158	показывает что	4	2
159	а затем	2	2
160	что при	5	2
161	еще не	9	2
162	мы в	2	2
163	а также	2	2
164	а другой	3	2
165	момент когда	2	2
166	установить что	3	2
167	того как	4	2
168	а с	2	2
169	представления и	2	2
170	тому как	3	2
171	что этот	3	2
172	подобно тому	3	2
173	на котором	2	2
174	и это	3	2
175	здесь не	2	2
176	из него	2	2
