N	2gram	Vygotskiy__2	Dialekti
1	и не	10	27
2	а не	7	26
3	точки зрения	17	25
4	это значит	3	24
5	и в	32	24
6	и т	10	24
7	значит что	3	24
8	не только	12	23
9	есть нечто	2	23
10	т д	2	23
11	по себе	12	20
12	не может	17	19
13	ничего не	4	17
14	и что	22	15
15	что все	9	14
16	в таком	2	14
17	то что	21	14
18	с точки	10	14
19	может быть	18	13
20	таким образом	21	13
21	и даже	5	13
22	что он	13	13
23	вовсе не	2	13
24	что это	8	12
25	того что	8	12
26	есть только	5	12
27	не менее	8	11
28	не имеет	4	11
29	что же	3	11
30	тем не	4	10
31	отнюдь не	5	10
32	не существует	2	10
33	в сущности	7	10
34	ни в	2	9
35	то это	3	9
36	но и	10	9
37	что она	16	9
38	есть не	4	9
39	так что	3	8
40	и как	7	8
41	отличается от	2	8
42	том что	21	8
43	в этом	13	8
44	если же	4	8
45	что в	20	7
46	никогда не	9	7
47	но что	2	7
48	в самом	12	7
49	в особенности	2	7
50	что оно	2	7
51	потому что	21	7
52	в виду	3	7
53	ясно что	7	7
54	как и	10	7
55	только на	5	7
56	как раз	5	7
57	вещей и	2	6
58	все это	5	6
59	и только	2	6
60	и с	4	6
61	о том	6	6
62	так как	12	6
63	если бы	6	6
64	и все	4	6
65	утверждать что	4	6
66	об этом	3	6
67	оно не	2	6
68	что и	17	6
69	не на	2	6
70	то же	13	6
71	самом деле	16	6
72	с этой	4	5
73	в том	37	5
74	что его	5	5
75	но это	2	5
76	только как	3	5
77	точка зрения	2	5
78	жизни и	4	5
79	и его	7	5
80	как на	5	5
81	что для	7	5
82	в то	5	5
83	как это	4	5
84	само по	3	5
85	в них	2	5
86	тогда когда	3	5
87	и к	3	5
88	было бы	11	5
89	он не	6	5
90	так и	3	5
91	что не	3	5
92	мы не	3	5
93	сам по	4	5
94	только в	7	5
95	тому что	4	4
96	с другой	3	4
97	это не	2	4
98	не могут	3	4
99	то время	3	4
100	к тому	7	4
101	хотя бы	3	4
102	но только	4	4
103	так же	18	4
104	время как	3	4
105	сказать что	7	4
106	говорит о	2	4
107	если оно	3	4
108	от того	4	4
109	при всем	3	4
110	в чем	4	4
111	жизнь и	3	4
112	тому как	3	4
113	и то	3	4
114	подобно тому	2	4
115	и это	4	4
116	из самых	2	3
117	не было	2	3
118	все же	4	3
119	все время	6	3
120	но даже	2	3
121	и без	2	3
122	и от	2	3
123	была бы	2	3
124	что именно	3	3
125	мы знаем	7	3
126	не в	8	3
127	она не	2	3
128	же время	2	3
129	в основе	11	3
130	тем более	2	3
131	в нем	4	3
132	это было	3	3
133	из них	4	3
134	все эти	7	3
135	того или	3	3
136	и на	5	3
137	с этим	4	3
138	во всем	3	3
139	ни на	3	3
140	при помощи	10	3
141	тем что	9	3
142	на то	11	3
143	утверждает что	5	3
144	все что	2	3
145	не значит	2	3
146	сами по	3	3
147	как бы	6	3
148	к природе	2	3
149	или же	3	3
150	для того	13	3
151	из которых	2	3
152	должны быть	3	3
153	к нему	2	3
154	той же	8	3
155	в каком	3	3
156	все решительно	6	3
157	и ее	3	3
158	зависит от	2	2
159	же как	4	2
160	что если	6	2
161	в частности	3	2
162	что у	5	2
163	и говорить	2	2
164	точно так	3	2
165	этой точки	2	2
166	показывает что	3	2
167	из того	2	2
168	а я	2	2
169	в смысле	3	2
170	для нас	2	2
171	который не	3	2
172	на этом	3	2
173	еще не	2	2
174	при этом	13	2
175	несмотря на	4	2
176	например в	3	2
177	и следовательно	2	2
178	не вполне	2	2
179	всяком случае	2	2
180	но совершенно	3	2
181	совершенно не	4	2
182	и тем	4	2
183	исходит из	5	2
184	то как	3	2
185	не имеют	2	2
186	другой стороны	2	2
187	целый ряд	6	2
188	для этого	3	2
189	того и	2	2
190	и вот	3	2
191	и по	4	2
192	а в	4	2
193	в своих	9	2
194	о ней	4	2
195	также и	2	2
196	никак не	4	2
197	их в	2	2
198	в ней	5	2
199	он дает	2	2
200	и здесь	2	2
201	когда мы	2	2
202	но в	3	2
203	же мы	3	2
204	с его	2	2
205	в их	3	2
206	думать что	3	2
207	или иного	2	2
208	и эти	2	2
209	но как	3	2
210	по существу	3	2
211	только потому	2	2
212	но не	2	2
213	во внимание	2	2
214	и когда	4	2
215	однако не	2	2
216	исходят из	2	2
217	как не	2	2
218	так в	2	2
219	для такого	2	2
220	и у	2	2
221	и он	3	2
222	и для	4	2
223	что этот	2	2
224	в данном	4	2
225	бы то	2	2
226	во всяком	2	2
227	из себя	2	2
228	могут быть	4	2
229	в себе	2	2
230	и вообще	2	2
231	из этого	4	2
232	учения о	2	2
233	в его	2	2
