N	2gram	Tiupa_Lite_2	EvropaiC
1	в том	10	31
2	и в	19	24
3	том что	7	20
4	не может	9	18
5	то что	7	17
6	может быть	17	15
7	все же	2	15
8	точки зрения	4	13
9	в этом	9	12
10	отношению к	3	10
11	как бы	2	10
12	по отношению	4	10
13	все что	2	10
14	во всех	3	10
15	так и	7	10
16	при этом	6	9
17	в результате	2	9
18	как и	10	9
19	того же	4	9
20	что в	4	9
21	не в	4	8
22	с точки	3	8
23	не менее	6	7
24	для этого	2	7
25	но и	10	7
26	и не	11	7
27	и что	2	7
28	о том	2	7
29	что он	3	7
30	по существу	3	7
31	для того	2	7
32	с другой	8	6
33	так что	4	6
34	в этой	3	6
35	того что	5	6
36	как на	3	6
37	и на	6	6
38	так как	3	6
39	с ним	2	6
40	еще не	2	6
41	что и	2	6
42	тогда как	9	6
43	в мире	9	6
44	вместе с	5	6
45	и без	2	5
46	столь же	5	5
47	у него	2	5
48	в целом	2	5
49	другой стороны	4	5
50	как к	3	5
51	и с	3	5
52	потому что	2	5
53	но в	2	5
54	и к	2	5
55	в то	9	5
56	в его	4	5
57	не только	8	5
58	и для	3	5
59	в себе	6	5
60	тех кто	4	4
61	никогда не	3	4
62	в конце	2	4
63	в такой	2	4
64	этом случае	2	4
65	из того	2	4
66	тем не	2	4
67	выше и	2	4
68	одним из	3	4
69	из них	2	4
70	в их	3	4
71	а потому	2	4
72	не так	2	4
73	и то	3	4
74	он не	5	4
75	то же	12	4
76	из которых	2	4
77	хотя бы	2	4
78	и т.д	7	4
79	в области	4	4
80	же как	2	3
81	с одной	7	3
82	в нашем	2	3
83	для нас	2	3
84	очевидно что	2	3
85	не вполне	2	3
86	в нем	3	3
87	данном случае	3	3
88	и других	4	3
89	и наконец	2	3
90	а в	3	3
91	каждый из	4	3
92	во имя	2	3
93	в начале	3	3
94	в истории	2	3
95	с тем	2	3
96	прежде всего	4	3
97	в жизни	2	3
98	у нас	5	3
99	тот же	2	3
100	даже в	4	3
101	в данном	3	3
102	культуры как	2	3
103	в частности	4	2
104	себя и	2	2
105	с этой	2	2
106	для него	4	2
107	такой же	3	2
108	на этом	2	2
109	же время	9	2
110	одной стороны	6	2
111	и сам	2	2
112	нет в	2	2
113	том чтобы	3	2
114	в ней	4	2
115	в виду	2	2
116	с ее	2	2
117	и до	2	2
118	то и	3	2
119	ни было	2	2
120	в глазах	3	2
121	одно из	2	2
122	но как	2	2
123	не было	2	2
124	то есть	5	2
125	в основе	2	2
126	отнюдь не	4	2
127	в них	2	2
128	вовсе не	2	2
129	а затем	2	2
130	а к	2	2
131	то в	2	2
132	одна из	5	2
133	но не	5	2
134	было бы	2	2
135	со своей	2	2
136	жизни и	4	2
137	в сущности	3	2
138	существование в	2	2
139	но с	3	2
140	в себя	3	2
141	о которой	2	2
142	ко всему	2	2
143	тем самым	3	2
144	не более	2	2
145	то с	2	2
146	в другом	3	2
147	ту же	2	2
148	не знает	2	2
149	и только	2	2
