N	2gram	Propp_Russ_2	Vvedenie
1	и т	5	42
2	т д	5	36
3	т е	24	35
4	и в	29	32
5	в том	22	31
6	в этом	11	30
7	может быть	13	26
8	том что	22	26
9	не только	10	22
10	для того	6	21
11	того чтобы	6	20
12	таким образом	6	19
13	то что	5	16
14	потому что	5	15
15	так как	13	15
16	не может	5	14
17	о том	9	13
18	того что	3	12
19	в их	2	12
20	представляет собой	2	12
21	xix в	3	12
22	как мы	3	11
23	в ее	3	11
24	в данном	6	11
25	что в	22	10
26	но в	5	9
27	и как	2	9
28	между тем	3	9
29	то же	4	9
30	не менее	2	8
31	с другой	2	8
32	это не	5	8
33	тем не	2	8
34	не в	4	8
35	именно в	4	8
36	прежде всего	2	7
37	вопрос о	4	7
38	но не	5	7
39	было бы	3	7
40	все же	2	7
41	можно было	2	7
42	только как	2	7
43	из этих	2	6
44	том чтобы	2	6
45	один из	2	6
46	но и	8	6
47	все это	10	6
48	в то	2	6
49	его в	8	6
50	с тем	6	6
51	как и	11	6
52	в качестве	3	6
53	а именно	3	6
54	этот вопрос	2	6
55	тем что	3	6
56	в руки	2	6
57	иное как	2	5
58	так что	4	5
59	но если	3	5
60	как бы	18	5
61	данном случае	7	5
62	одним из	2	5
63	в которых	4	5
64	в них	4	5
65	как например	3	5
66	об этом	2	5
67	в г	2	5
68	или вообще	4	5
69	вместе с	6	5
70	в течение	2	5
71	а не	4	5
72	могут быть	2	5
73	представляют собой	7	5
74	с этой	2	4
75	как уже	2	4
76	этом случае	6	4
77	одной стороны	2	4
78	о чем	4	4
79	в котором	3	4
80	с одной	2	4
81	и что	5	4
82	в и	3	4
83	не имеет	3	4
84	а в	9	4
85	одно из	2	4
86	что иное	2	4
87	как это	4	4
88	мы имеем	6	4
89	е в	10	4
90	должен был	3	4
91	не что	2	4
92	еще не	6	4
93	в своей	2	4
94	в виде	4	4
95	уже не	4	4
96	и для	2	4
97	и то	2	4
98	и ее	2	4
99	совсем не	2	3
100	что это	3	3
101	в этих	3	3
102	в этой	3	3
103	на этом	3	3
104	что с	2	3
105	до конца	3	3
106	при этом	6	3
107	в виду	2	3
108	из наиболее	2	3
109	к нему	4	3
110	мы видели	7	3
111	из них	4	3
112	дело не	2	3
113	что она	3	3
114	все эти	3	3
115	и других	3	3
116	так же	4	3
117	и на	6	3
118	на нее	6	3
119	тогда когда	4	3
120	к этому	5	3
121	говорит о	2	3
122	связи с	2	3
123	так чтобы	2	3
124	чем в	2	3
125	а также	4	3
126	как оно	2	3
127	должен быть	2	3
128	что и	2	3
129	же как	4	2
130	и другие	14	2
131	никогда не	2	2
132	для этого	5	2
133	это в	2	2
134	не к	2	2
135	после этого	2	2
136	природы и	2	2
137	в форме	2	2
138	не было	2	2
139	о них	2	2
140	этих случаях	4	2
141	к таким	2	2
142	должно быть	2	2
143	ее от	2	2
144	каждый из	2	2
145	не столько	2	2
146	и с	10	2
147	с этим	2	2
148	когда мы	2	2
149	для них	2	2
150	по этому	2	2
151	состоит в	15	2
152	не с	2	2
153	у нас	4	2
154	по существу	4	2
155	и при	2	2
156	должна была	5	2
157	во всех	3	2
158	для объяснения	2	2
159	том же	4	2
160	в этот	10	2
161	с ней	5	2
162	вряд ли	2	2
163	связь между	2	2
164	этому поводу	2	2
165	тогда как	2	2
166	того как	2	2
167	из которых	2	2
168	мы не	6	2
169	у них	2	2
170	тому как	3	2
171	которое в	2	2
172	подобно тому	3	2
173	будто бы	5	2
174	одна из	11	2
175	но вместе	2	2
