N	2gram	Trubetskoy_1	Tragedij
1	и в	14	18
2	в этом	17	9
3	не только	9	8
4	он сам	3	7
5	и не	19	7
6	и на	5	7
7	и с	7	7
8	может быть	9	7
9	как бы	4	7
10	что он	6	6
11	же время	10	6
12	у него	2	6
13	но в	2	6
14	все же	4	5
15	что это	3	5
16	не может	22	5
17	то же	11	5
18	как и	4	5
19	в то	10	5
20	несмотря на	3	5
21	но и	10	4
22	то что	13	4
23	что в	4	4
24	все это	6	4
25	прежде всего	8	4
26	в нем	5	4
27	и даже	2	4
28	так же	2	4
29	том что	9	4
30	но это	2	4
31	в этой	4	4
32	и что	2	4
33	в себе	9	4
34	еще не	3	4
35	отнюдь не	7	3
36	в своем	6	3
37	в конце	3	3
38	все эти	2	3
39	тем самым	2	3
40	и как	3	3
41	к нему	2	3
42	должно быть	3	3
43	в его	4	3
44	что с	2	3
45	для него	6	3
46	при этом	5	3
47	как будто	2	3
48	в мире	4	3
49	с ним	2	3
50	не могут	4	2
51	что и	3	2
52	только к	3	2
53	в частности	2	2
54	данном случае	3	2
55	даже если	2	2
56	что все	3	2
57	вопрос о	5	2
58	не просто	2	2
59	уже не	2	2
60	к тому	7	2
61	не так	2	2
62	ни в	2	2
63	в том	17	2
64	друг друга	3	2
65	так что	2	2
66	в таком	2	2
67	не в	4	2
68	в глазах	2	2
69	вряд ли	3	2
70	точно так	2	2
71	в данном	7	2
72	и то	4	2
73	одна из	3	2
74	потому что	5	2
75	с тем	6	2
76	тем что	3	2
77	в виде	3	2
78	о том	7	2
79	его в	4	2
80	в самом	3	2
81	он не	5	2
82	никогда не	5	2
