N	2gram	Propp_Morf_1	Psycholo
1	то что	8	44
2	и в	13	33
3	в этом	14	28
4	как бы	3	25
5	и что	2	25
6	потому что	3	24
7	для того	2	23
8	может быть	52	22
9	том что	4	22
10	того чтобы	3	22
11	что в	8	21
12	в том	6	21
13	о том	2	20
14	что он	4	20
15	только что	2	15
16	как это	3	14
17	таким образом	21	13
18	и не	12	13
19	так же	3	13
20	сказать что	2	13
21	к тому	4	12
22	так как	16	12
23	было бы	3	12
24	если мы	5	12
25	самом деле	4	12
26	он не	3	11
27	на то	2	10
28	что она	2	10
29	не может	14	10
30	если бы	2	10
31	в этой	2	9
32	то же	7	9
33	в каком	2	8
34	как будто	2	8
35	для нас	2	7
36	не только	4	7
37	показать что	4	7
38	перед нами	10	6
39	тому что	4	6
40	это не	6	6
41	что они	2	6
42	и т	41	6
43	все эти	2	6
44	точки зрения	2	6
45	что мы	2	6
46	во время	6	6
47	мы видим	13	6
48	мы должны	3	6
49	в сущности	3	6
50	на самом	4	6
51	а не	11	6
52	что эта	2	6
53	мы будем	3	5
54	в какой	3	5
55	и как	5	5
56	в целом	3	5
57	целый ряд	3	5
58	мы не	8	5
59	вовсе не	4	5
60	мы можем	2	5
61	ясно что	5	5
62	с этим	11	5
63	это и	2	5
64	как и	3	5
65	все же	7	5
66	и есть	2	4
67	в частности	2	4
68	так например	3	4
69	из них	3	4
70	а в	7	4
71	того что	3	4
72	при помощи	9	4
73	с тем	2	4
74	к этому	3	4
75	об этом	4	4
76	у нас	2	4
77	одна из	4	4
78	никто не	3	4
79	на него	3	4
80	как мы	6	4
81	с точки	2	4
82	заставляет его	2	4
83	можно было	2	4
84	этот вопрос	2	4
85	могла бы	4	4
86	только в	2	4
87	в которой	3	4
88	это было	3	4
89	и затем	4	3
90	в основу	2	3
91	в самых	2	3
92	что его	2	3
93	на этом	3	3
94	в пределах	3	3
95	например в	2	3
96	вслед за	5	3
97	но если	7	3
98	всяком случае	2	3
99	то это	3	3
100	и за	2	3
101	но и	4	3
102	здесь мы	3	3
103	в которых	2	3
104	и здесь	5	3
105	в то	3	3
106	его в	2	3
107	та же	2	3
108	ход действия	5	3
109	говорить о	3	3
110	но не	4	3
111	она не	2	3
112	что и	7	3
113	так и	6	3
114	как в	3	3
115	узнает о	3	3
116	из которых	3	3
117	и для	2	3
118	во всяком	2	3
119	тем что	4	3
120	в виде	2	3
121	далеко не	5	3
122	его и	2	2
123	с другой	8	2
124	иногда может	3	2
125	прежде всего	9	2
126	вопрос о	7	2
127	в тех	6	2
128	без всякого	2	2
129	но все	3	2
130	из его	2	2
131	совершается в	2	2
132	не является	3	2
133	один из	5	2
134	но мы	3	2
135	то как	2	2
136	другой стороны	4	2
137	т д	39	2
138	не имеет	2	2
139	время как	3	2
140	в результате	7	2
141	так если	2	2
142	также и	4	2
143	не в	3	2
144	мы имеем	9	2
145	но в	2	2
146	приходим к	2	2
147	с его	2	2
148	он может	2	2
149	и к	4	2
150	видим что	10	2
151	по существу	12	2
152	представляет собой	17	2
153	а на	3	2
154	тем и	2	2
155	что при	2	2
156	можно сказать	2	2
157	мы увидим	8	2
158	во всех	4	2
159	большей частью	4	2
160	не по	2	2
161	бы то	3	2
162	не все	6	2
163	что эти	2	2
164	и другим	3	2
165	не упоминается	3	2
166	со стороны	3	2
167	даже не	3	2
168	не на	2	2
169	нами в	2	2
170	а с	2	2
171	перейти к	2	2
172	то время	3	2
173	хотя бы	4	2
174	тому как	5	2
175	на пути	4	2
176	в руки	3	2
177	за ней	2	2
178	и ее	3	2
179	связи с	10	2
180	ничего не	4	2
