N	2gram	Bakhtin_Fr_3	Poddanst
1	не только	13	17
2	и в	40	14
3	и не	13	12
4	в области	4	11
5	в этом	15	10
6	то же	7	9
7	в том	8	9
8	но в	8	9
9	хотя бы	2	8
10	же время	6	7
11	в то	6	7
12	только в	3	7
13	но и	11	6
14	в ней	4	6
15	xix века	4	6
16	было бы	4	6
17	с другой	2	5
18	и о	4	5
19	может быть	9	5
20	в котором	2	4
21	то что	5	4
22	что в	12	4
23	если бы	3	4
24	в своем	7	4
25	не может	3	4
26	и к	3	4
27	а в	3	4
28	том что	4	4
29	и если	2	4
30	а также	4	4
31	как бы	3	4
32	и потому	4	4
33	в нем	5	3
34	это не	2	3
35	прежде всего	16	3
36	для того	3	3
37	мы не	2	3
38	и как	3	3
39	между тем	3	3
40	но не	2	3
41	точки зрения	2	3
42	в себе	3	3
43	потому что	2	3
44	не менее	2	2
45	том числе	3	2
46	в мире	4	2
47	начала и	5	2
48	не к	2	2
49	именно в	2	2
50	и есть	3	2
51	во всех	6	2
52	в частности	3	2
53	в них	9	2
54	все это	4	2
55	во всей	3	2
56	как раз	5	2
57	с этим	2	2
58	еще более	4	2
59	думать что	2	2
60	и других	6	2
61	и вот	2	2
62	в значительной	3	2
63	а не	5	2
64	в ее	3	2
65	одна из	3	2
66	из важнейших	2	2
67	переход от	2	2
68	по сравнению	2	2
69	не было	5	2
70	в начале	3	2
71	из них	4	2
72	например в	2	2
73	и это	2	2
74	никак не	3	2
75	в эту	4	2
76	в его	13	2
77	и с	8	2
