N	3gram	Tiupa_Disk_1	Narrotol
1	в том что	13	8
2	с одной стороны	9	7
3	в том числе	2	6
4	о том что	5	6
5	по отношению к	9	6
6	в отличие от	4	5
7	не может быть	3	5
8	можно сказать что	2	4
9	том числе и	2	4
10	той или иной	3	4
11	в данном случае	2	4
12	к тому же	4	4
13	в основе своей	2	4
14	с другой стороны	3	4
15	то же время	4	3
16	состоит в том	2	3
17	в свою очередь	3	3
18	вольно или невольно	2	3
19	в то же	3	3
20	свидетель и судия	2	2
21	сами по себе	2	2
22	рассказывания а не	2	2
23	в значительной степени	2	2
24	благодаря связи с	2	2
25	как к содержанию	2	2
26	и в форме	2	2
27	индивидуального речевого замысла	2	2
28	мы имеем дело	2	2
29	не сводится к	2	2
30	более или менее	2	2
31	тогда как в	5	2
32	не только в	2	2
33	подобно тому как	2	2
34	жанры как формы	2	2
35	то есть в	2	2
36	а не в	2	2
37	по сути дела	2	2
38	существует благодаря связи	2	2
